length,mean_nwidth,stdev_nwidth,mean_ndepth,stdev_ndepth,mean_balanced2,stdev_balanced2,mean_width,stdev_width,mean_depth,stdev_depth,mean_navdepth,stdev_navdepth,mean_avdepth,stdev_avdepth
1,1.0,0.0,0.99999999999999978,0.047787401706259641,1.5319488817891374,0.21657006172629167,1.0,0.0,3.0212992545260917,0.14438004115086109,0.99999999999999978,0.047787401706259641,3.0212992545260917,0.14438004115086109
2,1.0000000000000002,0.024400931362186313,1.0000000000000002,0.11688774793516268,1.9954693053105264,0.042288787885516058,1.3197144025977345,0.03220226055547605,3.157359822044949,0.3690566790198001,1.0000000000000002,0.066707494420971666,3.0846820587558486,0.20577141122492729
3,0.99999999999999978,0.031078896121760322,1.0000000000000002,0.13676929215134834,1.9973432161465199,0.048315451355553575,1.4856761671062777,0.046173175268071048,3.1242182122871593,0.42729711342086568,0.99999999999999978,0.084841373075388055,3.0715204835861987,0.26059201525663306
4,1.0000000000000002,0.047487978262541398,1.0000000000000002,0.18508736542429882,1.8157988288623648,0.10182569767187898,1.4255663924784003,0.067697265857823818,4.4019186238835593,0.81473952090676305,1.0,0.14049017756123264,3.8026518910574483,0.53423523937821804
5,1.0000000000000002,0.039024408094734828,1.0,0.17764939717392783,1.8243507418994003,0.077023611867794675,1.4620953826503533,0.057057406885974875,4.736717517096265,0.84147501149533566,1.0,0.13970867218139446,3.8373312291776251,0.53610845074860425
6,0.99999999999999978,0.035831026535873868,0.99999999999999978,0.18827467944992807,1.8223718003009051,0.089568657375405245,1.4677735817075039,0.052591834154816185,5.3908847184986595,1.0149670923268508,1.0,0.14664684645134662,4.1974441465594285,0.61554194724860423
7,1.0000000000000002,0.03667571514659191,1.0,0.2066300487570828,1.8355753184671149,0.092330879117497822,1.4821678029284922,0.054359564139655404,5.847057543783313,1.2081777853574147,1.0000000000000002,0.1625372339413888,4.4080278472751004,0.7164686534327096
8,1.0,0.036678714800733377,0.99999999999999978,0.21176976373092801,1.8827525043894844,0.10239804700047411,1.4858118369500948,0.054497668615046263,6.4063348416289596,1.3566680157929771,1.0,0.16639701863036677,4.6923501131221723,0.78079306919339375
9,1.0,0.036331978165182813,1.0,0.21891372329744338,1.8203004212999006,0.10420016154181359,1.491580141620146,0.054192057136963442,6.8503966286564202,1.4996458320434305,1.0,0.17344921754943499,4.9081143612626015,0.85130859560414296
10,1.0,0.035763429603966314,1.0000000000000002,0.2294643336409552,1.7499716328269364,0.098923859808839859,1.4940068571770433,0.053430809064494114,7.2848252118644066,1.6716075629312961,1.0,0.18341494001051026,5.136414194915254,0.94209510142951458
11,0.99999999999999978,0.034076005492795422,1.0,0.23489653906368474,1.8286088620722738,0.13071752340961984,1.4944539534904091,0.050925021127869056,7.6962707802905497,1.8078273699872147,0.99999999999999989,0.18652615616828502,5.3299658256974425,0.99417803797566318
12,0.99999999999999989,0.032832759653157975,1.0,0.24153038090891835,1.8860165341140434,0.15861046503795909,1.4965524167400577,0.049135945807179032,8.025980235894167,1.9385180635429682,1.0,0.19270192287617022,5.4995085538199975,1.0597658731950597
13,1.0,0.031229913385940358,0.99999999999999989,0.24448491749707391,1.931351113482306,0.17497598116019106,1.4982324055553966,0.046789668257504115,8.3510388437217706,2.0417030427221765,1.0,0.19642916175074959,5.6552567576957822,1.1108573443994443
14,1.0,0.031206909819614048,1.0,0.25105020108323511,1.8512281922451761,0.15715865641996193,1.4985971356613799,0.046766585668516582,8.6816222570532915,2.1795230133619183,1.0,0.20445127176423522,5.8273343036274072,1.1914059093719775
