5207,"(0,)",Well it 's certainly different paper .,"[Well/RB, it/PRP, 's/VBZ, certainly/RB, different/JJ, paper/NN, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB certainly)) (NP (JJ different) (NN paper))) (. .)))
5207,"(1,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
5207,"(2, 3)",Hm  But it 's quite good paper because it 's got all the colours in it so you could put any thing with it can 't you ?,"[Hm/NNS, But/CC, it/PRP, 's/VBZ, quite/RB, good/JJ, paper/NN, because/IN, it/PRP, 's/VBZ, got/VBN, all/PDT, the/DT, colours/NNS, in/IN, it/PRP, so/RB, you/PRP, could/MD, put/VB, any/DT, thing/NN, with/IN, it/PRP, can/MD, 't/PRP, you/PRP, ?/.]",(ROOT (SINV (S (NP (NNS Hm)) (ADVP (CC But)) (NP (PRP it)) (VP (VBZ 's) (NP (ADJP (RB quite) (JJ good)) (NN paper)) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN got) (NP (NP (PDT all) (DT the) (NNS colours)) (PP (IN in) (NP (PRP it)))))))) (SBAR (RB so) (S (NP (PRP you)) (VP (MD could) (VP (VB put) (NP (DT any) (NN thing)) (PP (IN with) (NP (PRP it))))))))) (VP (MD can)) (NP (NP (PRP 't)) (NP (PRP you))) (. ?)))
5207,"(4,)",Yeah   .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
5207,"(5,)",I didn 't think   .,"[I/PRP, didn/VBP, 't/PRP, think/VB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB think)))) (. .)))
