76303,"(30,)","It showed you a car go over that , going over ,tha- a lorry going over crossing and the lights were starting to flash .","[It/PRP, showed/VBD, you/PRP, a/DT, car/NN, go/VB, over/IN, that/DT, ,/,, going/VBG, over/IN, ,tha-/NN, a/DT, lorry/NN, going/VBG, over/IN, crossing/VBG, and/CC, the/DT, lights/NNS, were/VBD, starting/VBG, to/TO, flash/VB, ./.]","(ROOT (S (S (NP (PRP It)) (VP (VBD showed) (NP (PRP you)) (NP (DT a) (NN car) (S (VP (VB go) (PP (IN over) (NP (DT that))) (, ,) (S (VP (VBG going) (PP (IN over) (NP (NN ,tha-))) (NP (NP (DT a) (NN lorry)) (VP (VBG going) (PP (IN over) (S (VP (VBG crossing))))))))))))) (CC and) (S (NP (DT the) (NNS lights)) (VP (VBD were) (VP (VBG starting) (S (VP (TO to) (VP (VB flash))))))) (. .)))"
76303,"(31,)",Well a lot of people do that .,"[Well/RB, a/DT, lot/NN, of/IN, people/NNS, do/VBP, that/DT, ./.]",(ROOT (S (ADVP (RB Well)) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP do) (NP (DT that))) (. .)))
76303,"(32,)",It 's very dangerous .,"[It/PRP, 's/VBZ, very/RB, dangerous/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (RB very) (JJ dangerous))) (. .)))
76303,"(33,)",But I was supposed to stop .,"[But/CC, I/PRP, was/VBD, supposed/VBN, to/TO, stop/VB, ./.]",(ROOT (S (CC But) (NP (PRP I)) (VP (VBD was) (VP (VBN supposed) (S (VP (TO to) (VP (VB stop)))))) (. .)))
76303,"(34,)",They ha- as soon as the lights flash supposed to stop .,"[They/PRP, ha-/VBP, as/RB, soon/RB, as/IN, the/DT, lights/NNS, flash/VBP, supposed/VBN, to/TO, stop/VB, ./.]",(ROOT (S (NP (PRP They)) (VP (VBP ha-) (ADVP (ADVP (RB as) (RB soon)) (SBAR (IN as) (S (NP (DT the) (NNS lights)) (VP (VBP flash) (VP (VBN supposed) (S (VP (TO to) (VP (VB stop)))))))))) (. .)))
76303,"(35,)",Be,[Be/VB],(ROOT (VP (VB Be)))
76303,"(36,)",What the running of the railway line ?,"[What/WP, the/DT, running/NN, of/IN, the/DT, railway/NN, line/NN, ?/.]",(ROOT (FRAG (WHNP (WP What) (NP (DT the) (NN running))) (PP (IN of) (NP (DT the) (NN railway) (NN line))) (. ?)))
76303,"(37,)","No , they 're supposed to stop before the lights .","[No/DT, ,/,, they/PRP, 're/VBP, supposed/VBN, to/TO, stop/VB, before/IN, the/DT, lights/NNS, ./.]","(ROOT (S (NP (DT No)) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB stop) (PP (IN before) (NP (DT the) (NNS lights)))))))) (. .)))"
76303,"(38,)",Silly !,"[Silly/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Silly)) (. !)))
76303,"(39,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
76303,"(40,)","Because , on a lot of those the train","[Because/IN, ,/,, on/IN, a/DT, lot/NN, of/IN, those/DT, the/DT, train/NN]","(ROOT (FRAG (PP (IN Because)) (, ,) (ADVP (IN on) (NP (DT a) (NN lot)) (PP (IN of) (NP (DT those)))) (NP (DT the) (NN train))))"
