4816,"(0, 1)","Hey , come on  what 's the matter ?","[Hey/UH, ,/,, come/VBN, on/IN, what/WP, 's/VBZ, the/DT, matter/NN, ?/.]","(ROOT (S (S (INTJ (UH Hey)) (, ,) (S (VP (VBN come) (PP (IN on)))) (NP (WP what)) (VP (VBZ 's) (NP (DT the) (NN matter)))) (. ?)))"
4816,"(17,)",I mean that 's a silly place to put it Amy .,"[I/PRP, mean/VBP, that/DT, 's/VBZ, a/DT, silly/JJ, place/NN, to/TO, put/VB, it/PRP, Amy/NNP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT that)) (VP (VBZ 's) (NP (DT a) (JJ silly) (NN place) (S (VP (TO to) (VP (VB put) (S (NP (PRP it)) (NP (NNP Amy))))))))))) (. .)))
4816,"(18,)",I can 't find any where else to put it  .,"[I/PRP, can/MD, 't/PRP, find/VB, any/DT, where/WRB, else/RB, to/TO, put/VB, it/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB find) (NP (NP (DT any)) (SBAR (WHADVP (WRB where)) (S (NP (RB else)) (VP (TO to) (VP (VB put) (NP (PRP it)))))))))) (. .)))
4816,"(19,)","Well why don 't you put it on the table or on the little table , it doesn 't even fit on that shelf , does it ?","[Well/RB, why/WRB, don/NNP, 't/PRP, you/PRP, put/VBP, it/PRP, on/IN, the/DT, table/NN, or/CC, on/IN, the/DT, little/JJ, table/NN, ,/,, it/PRP, doesn/VBD, 't/PRP, even/RB, fit/VBP, on/IN, that/DT, shelf/NN, ,/,, does/VBZ, it/PRP, ?/.]","(ROOT (SINV (S (ADVP (RB Well)) (SBAR (WHADVP (WRB why) (NP (NP (NNP don)) (NP (PRP 't)))) (S (NP (PRP you)) (VP (VBP put) (NP (PRP it)) (PP (PP (IN on) (NP (DT the) (NN table))) (CC or) (PP (IN on) (NP (DT the) (JJ little) (NN table))))))) (, ,) (NP (PRP it)) (VP (VBD doesn) (SBAR (S (NP (PRP 't)) (ADVP (RB even)) (VP (VBP fit) (PP (IN on) (NP (DT that) (NN shelf)))))))) (, ,) (VP (VBZ does)) (NP (PRP it)) (. ?)))"
4816,"(20,)",It 's too big .,"[It/PRP, 's/VBZ, too/RB, big/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (RB too) (JJ big))) (. .)))
4816,"(21,)",You can 't really have that and these plates on that shelf .,"[You/PRP, can/MD, 't/PRP, really/RB, have/VBP, that/DT, and/CC, these/DT, plates/NNS, on/IN, that/DT, shelf/NN, ./.]",(ROOT (S (NP (PRP You)) (PRN (SINV (MD can) (NP (PRP 't)) (ADVP (RB really)))) (VP (VBP have) (NP (NP (DT that)) (CC and) (NP (NP (DT these) (NNS plates)) (PP (IN on) (NP (DT that) (NN shelf)))))) (. .)))
4816,"(22,)","Oh ok , I 'll have it on the little table , but I want you to do it , not me .","[Oh/UH, ok/UH, ,/,, I/PRP, 'll/MD, have/VB, it/PRP, on/IN, the/DT, little/JJ, table/NN, ,/,, but/CC, I/PRP, want/VBP, you/PRP, to/TO, do/VB, it/PRP, ,/,, not/RB, me/PRP, ./.]","(ROOT (S (S (INTJ (UH Oh) (UH ok)) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB have) (NP (PRP it)) (PP (IN on) (NP (DT the) (JJ little) (NN table)))))) (, ,) (CC but) (S (NP (PRP I)) (VP (VBP want) (S (NP (PRP you)) (VP (TO to) (VP (VB do) (NP (PRP it)) (, ,) (FRAG (RB not) (NP (PRP me)))))))) (. .)))"
4816,"(23,)","Alright , well .","[Alright/NNP, ,/,, well/RB, ./.]","(ROOT (FRAG (NP (NNP Alright)) (, ,) (ADVP (RB well) (. .))))"
4816,"(24,)",It 's always falling   .,"[It/PRP, 's/VBZ, always/RB, falling/VBG, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADVP (RB always)) (VP (VBG falling))) (. .)))
4816,"(25,)","On the little table it 'll fit , and you can put the cups  .","[On/IN, the/DT, little/JJ, table/NN, it/PRP, 'll/MD, fit/VB, ,/,, and/CC, you/PRP, can/MD, put/VB, the/DT, cups/NNS, ./.]","(ROOT (S (S (PP (IN On) (NP (DT the) (JJ little) (NN table))) (NP (PRP it)) (VP (MD 'll) (VP (VB fit)))) (, ,) (CC and) (S (NP (PRP you)) (VP (MD can) (VP (VB put) (NP (DT the) (NNS cups))))) (. .)))"
4816,"(26,)",That 's what I said  .,"[That/DT, 's/VBZ, what/WP, I/PRP, said/VBD, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD said))))) (. .)))
4816,"(27,)","Cups and saucers on , well you can do that , look you can do that better than I can .","[Cups/NNS, and/CC, saucers/NNS, on/IN, ,/,, well/RB, you/PRP, can/MD, do/VB, that/DT, ,/,, look/VB, you/PRP, can/MD, do/VB, that/IN, better/JJR, than/IN, I/PRP, can/MD, ./.]","(ROOT (S (ADVP (NP (NNS Cups) (CC and) (NNS saucers)) (IN on)) (PRN (, ,) (S (ADVP (RB well)) (NP (PRP you)) (VP (MD can) (VP (VB do) (NP (DT that))))) (, ,)) (VP (VB look) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB do) (SBAR (IN that) (S (NP (NP (JJR better)) (PP (IN than) (NP (PRP I)))) (VP (MD can))))))))) (. .)))"
4816,"(28,)","Here you are , there , it 's on the little table , now you put the cups and saucers on it .","[Here/RB, you/PRP, are/VBP, ,/,, there/EX, ,/,, it/PRP, 's/VBZ, on/IN, the/DT, little/JJ, table/NN, ,/,, now/RB, you/PRP, put/VBP, the/DT, cups/NNS, and/CC, saucers/NNS, on/IN, it/PRP, ./.]","(ROOT (S (ADVP (RB Here)) (PRN (S (NP (PRP you)) (VP (VBP are))) (, ,) (S (NP (EX there)) (, ,) (NP (PRP it)) (VP (VBZ 's) (PP (IN on) (NP (DT the) (JJ little) (NN table))))) (, ,)) (ADVP (RB now)) (NP (PRP you)) (VP (VBP put) (NP (NP (DT the) (NNS cups) (CC and) (NNS saucers)) (PP (IN on) (NP (PRP it))))) (. .)))"
4816,"(29,)","Ok , it doesn 't matter they can stay   .","[Ok/UH, ,/,, it/PRP, doesn/VBD, 't/PRP, matter/VB, they/PRP, can/MD, stay/VB, ./.]","(ROOT (S (INTJ (UH Ok)) (, ,) (NP (PRP it)) (VP (VBD doesn) (S (NP (PRP 't)) (VP (VB matter) (SBAR (S (NP (PRP they)) (VP (MD can) (VP (VB stay)))))))) (. .)))"
4816,"(30,)","Go on , you can do those better than I can .","[Go/VB, on/IN, ,/,, you/PRP, can/MD, do/VB, those/DT, better/JJR, than/IN, I/PRP, can/MD, ./.]","(ROOT (S (S (VP (VB Go) (PP (IN on)))) (, ,) (NP (PRP you)) (VP (MD can) (VP (VB do) (S (NP (DT those)) (ADJP (JJR better) (SBAR (IN than) (S (NP (PRP I)) (VP (MD can)))))))) (. .)))"
4816,"(31,)","That , that goes in the middle .","[That/DT, ,/,, that/IN, goes/VBZ, in/IN, the/DT, middle/NN, ./.]","(ROOT (FRAG (NP (DT That)) (, ,) (SBAR (IN that) (S (VP (VBZ goes) (PP (IN in) (NP (DT the) (NN middle)))))) (. .)))"
4816,"(32,)","There , but your trying to balance something that won 't even balance properly .","[There/RB, ,/,, but/CC, your/PRP$, trying/VBG, to/TO, balance/VB, something/NN, that/WDT, won/VBD, 't/PRP, even/RB, balance/VB, properly/RB, ./.]","(ROOT (FRAG (NP (RB There)) (, ,) (CC but) (S (NP (PRP$ your)) (VP (VBG trying) (S (VP (TO to) (VP (VB balance) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (VP (VBD won) (SBAR (S (NP (PRP 't)) (ADVP (RB even)) (VP (VB balance) (ADVP (RB properly)))))))))))))) (. .)))"
4816,"(33,)",Where 's the other cup ?,"[Where/WRB, 's/VBZ, the/DT, other/JJ, cup/NN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBZ 's) (NP (DT the) (JJ other) (NN cup))) (. ?)))
4816,"(34,)","I don 't know , have a look in the kitchen , can 't really see .","[I/PRP, don/VBP, 't/PRP, know/VB, ,/,, have/VB, a/DT, look/NN, in/IN, the/DT, kitchen/NN, ,/,, can/MD, 't/PRP, really/RB, see/VBP, ./.]","(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VP (VB know)) (, ,) (VP (VB have) (NP (NP (DT a) (NN look)) (PP (IN in) (NP (DT the) (NN kitchen))))))) (, ,) (SBAR (MD can) (S (NP (PRP 't)) (ADVP (RB really)) (VP (VBP see))))) (. .)))"
