4601,"(13,)",It was to be a French conversation lesson in which the girls would endeavour to answer all Mademoiselle 's simple questions in French .,"[It/PRP, was/VBD, to/TO, be/VB, a/DT, French/JJ, conversation/NN, lesson/NN, in/IN, which/WDT, the/DT, girls/NNS, would/MD, endeavour/VB, to/TO, answer/VB, all/DT, Mademoiselle/NNP, 's/POS, simple/JJ, questions/NNS, in/IN, French/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBD was) (S (VP (TO to) (VP (VB be) (NP (NP (DT a) (JJ French) (NN conversation) (NN lesson)) (SBAR (WHPP (IN in) (WHNP (WDT which))) (S (NP (DT the) (NNS girls)) (VP (MD would) (VP (VB endeavour) (S (VP (TO to) (VP (VB answer) (NP (NP (DT all) (NNP Mademoiselle) (POS 's)) (JJ simple) (NNS questions)) (PP (IN in) (NP (JJ French))))))))))))))) (. .)))
4601,"(14,)","Miss Potts left and Mademoiselle arrived , not quite so beaming as usual because of the heat .","[Miss/NNP, Potts/NNP, left/VBD, and/CC, Mademoiselle/NNP, arrived/VBD, ,/,, not/RB, quite/RB, so/RB, beaming/VBG, as/RB, usual/JJ, because/IN, of/IN, the/DT, heat/NN, ./.]","(ROOT (S (S (NP (NNP Miss) (NNP Potts)) (VP (VBD left))) (CC and) (S (NP (NNP Mademoiselle)) (VP (VBD arrived))) (, ,) (RB not) (S (VP (ADVP (RB quite) (RB so)) (VBG beaming) (ADJP (RB as) (JJ usual)) (PP (IN because) (PP (IN of) (NP (DT the) (NN heat)))))) (. .)))"
4601,"(15,)",She was too   to enjoy the hot weather and little beads of perspiration shone on her forehead as she sat down at the big desk opposite the row of girls .,"[She/PRP, was/VBD, too/RB, to/TO, enjoy/VB, the/DT, hot/JJ, weather/NN, and/CC, little/JJ, beads/NNS, of/IN, perspiration/NN, shone/NN, on/IN, her/PRP$, forehead/NN, as/IN, she/PRP, sat/VBD, down/RP, at/IN, the/DT, big/JJ, desk/NN, opposite/IN, the/DT, row/NN, of/IN, girls/NNS, ./.]",(ROOT (S (NP (PRP She)) (VP (VBD was) (ADJP (RB too) (S (VP (TO to) (VP (VB enjoy) (NP (NP (DT the) (JJ hot) (NN weather)) (CC and) (NP (NP (JJ little) (NNS beads)) (PP (IN of) (NP (NN perspiration) (NN shone))))) (PP (IN on) (NP (PRP$ her) (NN forehead))) (SBAR (IN as) (S (NP (PRP she)) (VP (VBD sat) (PRT (RP down)) (PP (IN at) (NP (DT the) (JJ big) (NN desk))) (PP (IN opposite) (NP (NP (DT the) (NN row)) (PP (IN of) (NP (NNS girls))))))))))))) (. .)))
4601,"(16,)","Sit down , she said and the girls sat down thankfully feeling that the only lesson they really enjoy that weather would be swimming lesson .","[Sit/VB, down/RP, ,/,, she/PRP, said/VBD, and/CC, the/DT, girls/NNS, sat/VBD, down/IN, thankfully/RB, feeling/VBG, that/IN, the/DT, only/JJ, lesson/NN, they/PRP, really/RB, enjoy/VBP, that/IN, weather/NN, would/MD, be/VB, swimming/VBG, lesson/NN, ./.]","(ROOT (S (S (S (VP (VB Sit) (PRT (RP down)))) (, ,) (NP (PRP she)) (VP (VBD said))) (CC and) (S (NP (DT the) (NNS girls)) (VP (VBD sat) (PP (IN down) (S (ADVP (RB thankfully)) (VP (VBG feeling) (SBAR (IN that) (S (NP (NP (DT the) (JJ only) (NN lesson)) (NP (PRP they))) (ADVP (RB really)) (VP (VBP enjoy) (SBAR (IN that) (S (NP (NN weather)) (VP (MD would) (VP (VB be) (VP (VBG swimming) (NP (NN lesson))))))))))))))) (. .)))"
4601,"(17,)","The lesson proceeded slowly and hauntingly , the flow of French conversation was not at all brisk on the girls ' part and the constant pauses began to irritate Mademoiselle .","[The/DT, lesson/NN, proceeded/VBD, slowly/RB, and/CC, hauntingly/RB, ,/,, the/DT, flow/NN, of/IN, French/JJ, conversation/NN, was/VBD, not/RB, at/IN, all/DT, brisk/JJ, on/IN, the/DT, girls/NNS, '/POS, part/NN, and/CC, the/DT, constant/JJ, pauses/VBZ, began/VBD, to/TO, irritate/VB, Mademoiselle/NNP, ./.]","(ROOT (S (S (NP (DT The) (NN lesson)) (VP (VBD proceeded) (ADVP (RB slowly)))) (CC and) (ADVP (RB hauntingly)) (, ,) (S (NP (NP (DT the) (NN flow)) (PP (IN of) (NP (JJ French) (NN conversation)))) (VP (VBD was) (RB not) (ADVP (IN at) (DT all)) (ADJP (JJ brisk) (PP (IN on) (NP (NP (DT the) (NNS girls) (POS ')) (NN part)))))) (CC and) (S (NP (DT the) (JJ constant)) (VP (VBZ pauses) (SBAR (S (VP (VBD began) (S (VP (TO to) (VP (VB irritate) (NP (NNP Mademoiselle)))))))))) (. .)))"
4601,"(18,)",Ah !,"[Ah/NN, !/.]",(ROOT (INTJ (NN Ah) (. !)))
4601,"(19,)",She cried at last .,"[She/PRP, cried/VBD, at/IN, last/JJ, ./.]",(ROOT (S (NP (PRP She)) (VP (VBD cried) (PP (IN at) (NP (JJ last)))) (. .)))
4601,"(20,)",It 's too hot to make conversation with such stupid ones as you are this afternoon .,"[It/PRP, 's/VBZ, too/RB, hot/JJ, to/TO, make/VB, conversation/NN, with/IN, such/JJ, stupid/JJ, ones/NNS, as/IN, you/PRP, are/VBP, this/DT, afternoon/NN, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (RB too) (JJ hot)) (S (VP (TO to) (VP (VB make) (NP (NN conversation)) (PP (IN with) (NP (JJ such) (JJ stupid) (NNS ones)))))) (SBAR (IN as) (S (NP (PRP you)) (VP (VBP are) (NP (DT this) (NN afternoon)))))) (. .)))
4601,"(21,)",Get out your grammar books and I will explain a few things to you that will help your conversation if you can get them into your so stupid heads .,"[Get/VB, out/RP, your/PRP$, grammar/NN, books/NNS, and/CC, I/PRP, will/MD, explain/VB, a/DT, few/JJ, things/NNS, to/TO, you/PRP, that/WDT, will/MD, help/VB, your/PRP$, conversation/NN, if/IN, you/PRP, can/MD, get/VB, them/PRP, into/IN, your/PRP$, so/RB, stupid/JJ, heads/NNS, ./.]",(ROOT (S (S (VP (VB Get) (PRT (RP out)) (NP (PRP$ your) (NN grammar) (NNS books)))) (CC and) (S (NP (PRP I)) (VP (MD will) (VP (VB explain) (NP (NP (DT a) (JJ few) (NNS things)) (PP (TO to) (NP (PRP you))) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB help) (NP (PRP$ your) (NN conversation)) (SBAR (IN if) (S (NP (PRP you)) (VP (MD can) (VP (VB get) (NP (PRP them)) (PP (IN into) (NP (PRP$ your) (ADJP (RB so) (JJ stupid)) (NNS heads))))))))))))))) (. .)))
4601,"(22,)", The girls opened their desks to get out their grammar books .,"[The/DT, girls/NNS, opened/VBD, their/PRP$, desks/NNS, to/TO, get/VB, out/RP, their/PRP$, grammar/NN, books/NNS, ./.]",(ROOT (S (NP (DT The) (NNS girls)) (VP (VBD opened) (NP (PRP$ their) (NNS desks)) (S (VP (TO to) (VP (VB get) (PRT (RP out)) (NP (PRP$ their) (NN grammar) (NNS books)))))) (. .)))
