18901,"(0,)",No it doesn 't look very important does it ?,"[No/DT, it/PRP, doesn/VBD, 't/PRP, look/VB, very/RB, important/JJ, does/VBZ, it/PRP, ?/.]",(ROOT (S (NP (DT No) (S (NP (PRP it)) (VP (VBD doesn) (S (NP (PRP 't)) (VP (VB look) (ADJP (RB very) (JJ important))))))) (VP (VBZ does) (NP (PRP it))) (. ?)))
18901,"(1, 2, 3, 4, 5)","Er er  no  no , no no no  very   me thinks  Lloyds Bank .","[Er/NN, er/NN, no/DT, no/NN, ,/,, no/DT, no/DT, no/DT, very/RB, me/PRP, thinks/VBZ, Lloyds/NNP, Bank/NNP, ./.]","(ROOT (NP (NP (NN Er) (NN er)) (VP (NP (NP (DT no) (NN no)) (, ,) (ADJP (ADVP (DT no) (DT no)) (DT no))) (ADJP (RB very) (SBAR (S (NP (PRP me)) (VP (VBZ thinks) (NP (NNP Lloyds) (NNP Bank))))))) (. .)))"
18901,"(6,)","Wrote to Lloyds Bank telling them , that if they try and keep ","[Wrote/VBD, to/TO, Lloyds/NNP, Bank/NNP, telling/VBG, them/PRP, ,/,, that/IN, if/IN, they/PRP, try/VBP, and/CC, keep/VBP]","(ROOT (SINV (VP (VBD Wrote) (PP (TO to) (NP (NNP Lloyds)))) (NP (NP (NNP Bank)) (VP (VBG telling) (NP (PRP them)) (, ,) (SBAR (IN that) (IN if) (S (NP (PRP they)) (VP (VBP try) (CC and) (VBP keep))))))))"
18901,"(7,)",Dear customer,"[Dear/NNP, customer/NN]",(ROOT (NP (NP (NNP Dear)) (NP (NN customer))))
18901,"(8,)","You 're usually sir , madam and esquire on the bank things .","[You/PRP, 're/VBP, usually/RB, sir/NNP, ,/,, madam/NNP, and/CC, esquire/NNP, on/IN, the/DT, bank/NN, things/NNS, ./.]","(ROOT (S (NP (PRP You)) (VP (VBP 're) (ADVP (RB usually)) (NP (NP (NNP sir) (, ,) (NNP madam) (CC and) (NNP esquire)) (PP (IN on) (NP (DT the) (NN bank) (NNS things))))) (. .)))"
18901,"(9,)",I don 't what,"[I/PRP, don/VBP, 't/PRP, what/WDT]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (NP (WDT what))))))
18901,"(10, 11)",Are you satisfied with their  service ?,"[Are/VBP, you/PRP, satisfied/VBN, with/IN, their/PRP$, service/NN, ?/.]",(ROOT (SQ (VBP Are) (NP (PRP you)) (ADJP (VBN satisfied) (PP (IN with) (NP (PRP$ their) (NN service)))) (. ?)))
18901,"(12, 13)",Yes  that sort of thing .,"[Yes/UH, that/WDT, sort/NN, of/IN, thing/NN, ./.]",(ROOT (FRAG (PP (NP (UH Yes)) (PP (NP (WDT that) (NN sort)) (IN of) (NP (NN thing)))) (. .)))
