17102,"(25,)",It was Young .,"[It/PRP, was/VBD, Young/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (JJ Young))) (. .)))
17102,"(26,)",Er Young let it plop over ,"[Er/NN, Young/JJ, let/VB, it/PRP, plop/VB, over/IN]",(ROOT (NP (S (NP (NN Er) (JJ Young)) (VP (VB let) (S (NP (PRP it)) (VP (VB plop) (PP (IN over))))))))
17102,"(27,)","Oh , didn 't see who it was .","[Oh/UH, ,/,, didn/JJ, 't/PRP, see/VB, who/WP, it/PRP, was/VBD, ./.]","(ROOT (S (INTJ (UH Oh)) (, ,) (NP (NP (JJ didn)) (SBAR (S (NP (PRP 't)) (VP (VB see) (FRAG (WHNP (WP who) (NP (PRP it)))))))) (VP (VBD was)) (. .)))"
17102,"(28,)","It was like , it was like a , like they were waiting for an offside or some there were just couldn 't believe , it was","[It/PRP, was/VBD, like/IN, ,/,, it/PRP, was/VBD, like/IN, a/DT, ,/,, like/IN, they/PRP, were/VBD, waiting/VBG, for/IN, an/DT, offside/NN, or/CC, some/DT, there/EX, were/VBD, just/RB, couldn/NN, 't/PRP, believe/VBP, ,/,, it/PRP, was/VBD]","(ROOT (S (NP (PRP It)) (VP (VBD was) (SBAR (IN like) (PRN (, ,) (S (NP (PRP it)) (VP (VBD was) (ADVP (IN like) (DT a)) (, ,) (SBAR (IN like) (S (NP (PRP they)) (VP (VBD were) (VP (VBG waiting) (PP (IN for) (NP (NP (DT an) (NN offside)) (CC or) (NP (NP (DT some)) (SBAR (S (NP (EX there)) (VP (VBD were) (ADVP (RB just)) (NP (NP (NN couldn)) (SBAR (S (NP (PRP 't)) (VP (VBP believe))))))))))))))))) (, ,)) (S (NP (PRP it)) (VP (VBD was)))))))"
17102,"(29,)",But it was the same when Palace scored and exactly the same thing happened didn 't it ?,"[But/CC, it/PRP, was/VBD, the/DT, same/JJ, when/WRB, Palace/NNP, scored/VBD, and/CC, exactly/RB, the/DT, same/JJ, thing/NN, happened/VBD, didn/JJ, 't/PRP, it/PRP, ?/.]",(ROOT (S (CC But) (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT the) (JJ same)) (SBAR (WHADVP (WRB when)) (S (NP (NNP Palace)) (VP (VBD scored))))))) (CC and) (S (NP (RB exactly) (DT the) (JJ same) (NN thing)) (VP (VBD happened) (S (ADJP (JJ didn) (NP (PRP 't))) (NP (PRP it))))) (. ?)))
17102,"(30,)",Why do they lapse ?,"[Why/WRB, do/VBP, they/PRP, lapse/NN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VP (VBP do) (S (NP (PRP they)) (NP (NN lapse))))) (. ?)))
17102,"(31,)",It 's weird .,"[It/PRP, 's/VBZ, weird/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (JJ weird))) (. .)))
17102,"(32, 33)","Yeah , it 's  well they do say both sides that it 's the most dangerous time straight after a goal .","[Yeah/UH, ,/,, it/PRP, 's/VBZ, well/RB, they/PRP, do/VBP, say/VB, both/DT, sides/NNS, that/IN, it/PRP, 's/VBZ, the/DT, most/RBS, dangerous/JJ, time/NN, straight/RB, after/IN, a/DT, goal/NN, ./.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB well)) (SBAR (S (NP (PRP they)) (VP (VBP do) (VP (VB say) (NP (DT both) (NNS sides)) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT the) (ADJP (RBS most) (JJ dangerous)) (NN time)) (PP (RB straight) (IN after) (NP (DT a) (NN goal)))))))))))) (. .)))"
17102,"(34,)","I mean often , times you see teams equalize immediately .","[I/PRP, mean/VBP, often/RB, ,/,, times/NNS, you/PRP, see/VBP, teams/NNS, equalize/VB, immediately/RB, ./.]","(ROOT (S (NP (PRP I)) (VP (VP (VBP mean) (ADVP (RB often))) (, ,) (NP (NP (NNS times)) (SBAR (S (NP (PRP you)) (VP (VBP see) (S (NP (NNS teams)) (VP (VB equalize) (ADVP (RB immediately))))))))) (. .)))"
17102,"(35,)","You know it 's like , you sometimes you can go a whole game like seventy minutes of a game and no-one 's had a goal scoring chance","[You/PRP, know/VBP, it/PRP, 's/VBZ, like/IN, ,/,, you/PRP, sometimes/RB, you/PRP, can/MD, go/VB, a/DT, whole/JJ, game/NN, like/IN, seventy/CD, minutes/NNS, of/IN, a/DT, game/NN, and/CC, no-one/NN, 's/POS, had/VBD, a/DT, goal/NN, scoring/NNP, chance/NN]","(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (SBAR (IN like) (, ,) (S (NP (PRP you)) (ADVP (RB sometimes)) (NP (PRP you)) (VP (MD can) (VP (VB go) (NP (DT a) (JJ whole) (NN game)) (PP (IN like) (NP (NP (CD seventy) (NNS minutes)) (PP (IN of) (NP (NP (NP (DT a) (NN game)) (CC and) (NP (NN no-one) (POS 's))) (VP (VBD had) (NP (DT a) (NN goal) (NNP scoring) (NN chance)))))))))))))))))"
