45501,"(30, 31, 32, 33, 34, 35)","Raymond took money out of your money , got cigarettes  and a paper  and the house is tidy  so I 'll get the    twenty past ten bus    later .","[Raymond/NNP, took/VBD, money/NN, out/IN, of/IN, your/PRP$, money/NN, ,/,, got/VBD, cigarettes/NNS, and/CC, a/DT, paper/NN, and/CC, the/DT, house/NNP, is/VBZ, tidy/JJ, so/IN, I/PRP, 'll/MD, get/VB, the/DT, twenty/CD, past/JJ, ten/CD, bus/NN, later/RB, ./.]","(ROOT (S (NP (NNP Raymond)) (VP (VBD took) (SBAR (S (S (NP (NP (NN money)) (RRC (ADVP (IN out)) (PP (IN of) (NP (PRP$ your) (NN money)))) (, ,)) (VP (VBD got) (NP (NP (NNS cigarettes)) (CC and) (NP (DT a) (NN paper))))) (CC and) (S (NP (DT the) (NNP house)) (VP (VBZ is) (ADJP (JJ tidy)) (SBAR (IN so) (S (NP (PRP I)) (VP (MD 'll) (VP (VB get) (NP (NP (DT the) (CD twenty) (JJ past) (CD ten) (NN bus)) (ADVP (RB later)))))))))))) (. .)))"
45501,"(36,)",Have you no matches ?,"[Have/VB, you/PRP, no/DT, matches/NNS, ?/.]",(ROOT (SQ (VP (VB Have) (S (NP (PRP you)) (NP (DT no) (NNS matches)))) (. ?)))
45501,"(37,)",,[],X
45501,"(38, 39, 40, 41, 42)","She was saying that  the shop she was in was selling  the turkeys that we got , for  three ninety nine  I think it was a supermarket or somewhere was selling them ","[She/PRP, was/VBD, saying/VBG, that/IN, the/DT, shop/NN, she/PRP, was/VBD, in/IN, was/VBD, selling/VBG, the/DT, turkeys/NNS, that/IN, we/PRP, got/VBD, ,/,, for/IN, three/CD, ninety/CD, nine/CD, I/PRP, think/VBP, it/PRP, was/VBD, a/DT, supermarket/NN, or/CC, somewhere/RB, was/VBD, selling/VBG, them/PRP]","(ROOT (S (S (NP (PRP She)) (VP (VBD was) (VP (VBG saying) (SBAR (IN that) (S (NP (NP (DT the) (NN shop)) (SBAR (S (NP (PRP she)) (VP (VBD was) (PP (IN in)))))) (VP (VBD was) (VP (VBG selling) (NP (DT the) (NNS turkeys)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBD got))))))))))) (, ,) (S (PP (IN for) (NP (QP (CD three) (CD ninety)) (CD nine))) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (NN supermarket))))))) (CC or) (S (NP (RB somewhere)) (VP (VBD was) (VP (VBG selling) (NP (PRP them)))))))"
45501,"(43,)",Three ninety nine ?,"[Three/CD, ninety/CD, nine/CD, ?/.]",(ROOT (NP (NP (CD Three)) (QP (CD ninety) (CD nine)) (. ?)))
45501,"(44, 45)",No  three fifty .,"[No/DT, three/CD, fifty/CD, ./.]",(ROOT (NP (NP (DT No) (CD three)) (NP (CD fifty)) (. .)))
45501,"(46,)",Aha .,"[Aha/NNP, ./.]",(ROOT (FRAG (NP (NNP Aha)) (. .)))
45501,"(47,)",Patch !,"[Patch/NN, !/.]",(ROOT (INTJ (NN Patch) (. !)))
45501,"(48,)",Stop that !,"[Stop/VB, that/DT, !/.]",(ROOT (S (VP (VB Stop) (NP (DT that))) (. !)))
45501,"(49,)",Fucking lighter !,"[Fucking/VBG, lighter/JJR, !/.]",(ROOT (S (VP (VBG Fucking) (NP (JJR lighter))) (. !)))
45501,"(50,)",Have you got a light Jean ?,"[Have/VB, you/PRP, got/VBD, a/DT, light/JJ, Jean/NN, ?/.]",(ROOT (SQ (VP (VB Have) (S (NP (PRP you)) (VP (VBD got) (NP (DT a) (JJ light) (NN Jean))))) (. ?)))
45501,"(51, 52, 53)","You should of bought pe- oh there 's some petrol under the sink  I put paint thin- thinners in this  you know , stripper ?","[You/PRP, should/MD, of/IN, bought/VBN, pe-/NN, oh/NN, there/EX, 's/VBZ, some/DT, petrol/NN, under/IN, the/DT, sink/NN, I/PRP, put/VBD, paint/NN, thin-/NN, thinners/NNS, in/IN, this/DT, you/PRP, know/VBP, ,/,, stripper/NN, ?/.]","(ROOT (S (NP (PRP You)) (VP (MD should) (PP (IN of)) (VP (VBN bought) (NP (NP (NN pe-) (NN oh)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT some) (NN petrol)) (PP (IN under) (NP (NP (DT the) (NN sink)) (SBAR (S (NP (PRP I)) (VP (VBD put) (NP (NN paint) (NN thin-) (NNS thinners)) (PP (IN in) (NP (NP (DT this)) (SBAR (S (NP (PRP you)) (VP (VBP know)))))) (, ,) (NP (NN stripper)))))))))))))) (. ?)))"
45501,"(54,)",What for ?,"[What/WDT, for/IN, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (PP (IN for)) (. ?)))
45501,"(55, 56, 57)",I thought it would of  blown  or lit .,"[I/PRP, thought/VBD, it/PRP, would/MD, of/IN, blown/VBN, or/CC, lit/VBN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (MD would) (PP (IN of)) (VP (VBN blown) (CC or) (VBN lit)))))) (. .)))
