7607,"(0, 1)","Right , that one goes there .","[Right/RB, ,/,, that/IN, one/CD, goes/VBZ, there/RB, ./.]","(ROOT (SINV (ADVP (RB Right)) (, ,) (ADVP (IN that) (NP (CD one))) (VP (VBZ goes)) (NP (RB there)) (. .)))"
7607,"(2, 3)","Umm  I think a big one here , cos I want to look at it from in there .","[Umm/NN, I/PRP, think/VBP, a/DT, big/JJ, one/CD, here/RB, ,/,, cos/NN, I/PRP, want/VBP, to/TO, look/VB, at/IN, it/PRP, from/IN, in/IN, there/RB, ./.]","(ROOT (S (NP (NP (NN Umm)) (SBAR (S (NP (PRP I)) (VP (VBP think) (NP (DT a) (JJ big) (CD one)) (ADVP (RB here)))))) (, ,) (NP (NN cos)) (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB look) (PP (IN at) (NP (PRP it))) (PP (IN from) (PP (IN in) (NP (RB there)))))))) (. .)))"
7607,"(4,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
7607,"(5, 6)","Umm , the kids come round here to get all their toys so  there 's a big sort of ridge there so it can 't really go over that","[Umm/NNP, ,/,, the/DT, kids/NNS, come/VBP, round/NN, here/RB, to/TO, get/VB, all/DT, their/PRP$, toys/NNS, so/RB, there/EX, 's/VBZ, a/DT, big/JJ, sort/NN, of/IN, ridge/NNP, there/RB, so/IN, it/PRP, can/MD, 't/PRP, really/RB, go/VBP, over/IN, that/DT]","(ROOT (S (S (NP (NNP Umm))) (PRN (, ,) (S (NP (DT the) (NNS kids)) (VP (VBP come) (NP (NN round)) (S (ADVP (RB here)) (VP (TO to) (VP (VB get) (NP (DT all) (PRP$ their) (NNS toys)) (SBAR (RB so) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (JJ big) (NN sort)) (PP (IN of) (NP (NNP ridge)))) (ADVP (RB there)) (SBAR (IN so) (S (NP (PRP it)) (VP (MD can))))))))))))) (NP (PRP 't)) (ADVP (RB really)) (VP (VBP go) (PP (IN over) (NP (DT that))))))"
7607,"(7,)","Oh yeah cos er the screws will hold it , I mean don 't worry about that .","[Oh/UH, yeah/UH, cos/NN, er/NN, the/DT, screws/NNS, will/MD, hold/VB, it/PRP, ,/,, I/PRP, mean/VBP, don/NNP, 't/PRP, worry/VBP, about/IN, that/DT, ./.]","(ROOT (S (SINV (FRAG (INTJ (UH Oh) (UH yeah))) (VP (PP (NP (NN cos)) (NP (NP (NN er)) (NP (DT the) (NNS screws)))) (MD will) (VP (VB hold))) (NP (PRP it))) (, ,) (NP (PRP I)) (VP (VBP mean) (NP (NP (NNP don)) (SBAR (S (NP (PRP 't)) (VP (VBP worry) (PP (IN about) (NP (DT that)))))))) (. .)))"
7607,"(8,)","Well , just somewhere sort of , I mean it doesn 't really matter .","[Well/RB, ,/,, just/RB, somewhere/RB, sort/NN, of/IN, ,/,, I/PRP, mean/VBP, it/PRP, doesn/VB, 't/PRP, really/RB, matter/NN, ./.]","(ROOT (S (INTJ (RB Well)) (, ,) (ADVP (NP (QP (RB just) (RB somewhere)) (NN sort)) (IN of)) (, ,) (NP (PRP I)) (VP (VBP mean) (S (NP (PRP it)) (VP (VB doesn) (NP (PRP 't)) (ADVP (RB really) (NN matter))))) (. .)))"
7607,"(9, 10, 11, 12)",Somewhere  it 's gonna be seen so  and the higher the better because all the kids  oh there 's the phone .,"[Somewhere/RB, it/PRP, 's/VBZ, gonna/NNP, be/VB, seen/VBN, so/RB, and/CC, the/DT, higher/JJR, the/DT, better/JJR, because/IN, all/PDT, the/DT, kids/NNS, oh/UH, there/EX, 's/VBZ, the/DT, phone/NN, ./.]",(ROOT (S (S (ADVP (RB Somewhere)) (NP (PRP it)) (VP (VBZ 's) (S (NP (NNP gonna)) (VP (VB be) (VP (VBN seen) (ADVP (RB so))))))) (CC and) (S (X (DT the) (JJR higher)) (X (DT the) (JJR better) (PP (IN because) (NP (NP (PDT all) (DT the) (NNS kids)) (FRAG (INTJ (UH oh)))))) (NP (EX there)) (VP (VBZ 's) (NP (DT the) (NN phone)))) (. .)))
7607,"(13,)",I 'll go and get the phone .,"[I/PRP, 'll/MD, go/VB, and/CC, get/VB, the/DT, phone/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB go) (CC and) (VB get) (NP (DT the) (NN phone)))) (. .)))
