24501,"(30, 31)", That 's a lot of money innit ?,"[That/DT, 's/VBZ, a/DT, lot/NN, of/IN, money/NN, innit/NN, ?/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN money) (NN innit))))) (. ?)))
24501,"(32, 33, 34, 35, 36)",And she all  an- and she were also telling me that erm  Ben  er  two boys at school set about Ben the other night and beat him up !,"[And/CC, she/PRP, all/DT, an-/NN, and/CC, she/PRP, were/VBD, also/RB, telling/VBG, me/PRP, that/IN, erm/NN, Ben/NNP, er/NN, two/CD, boys/NNS, at/IN, school/NN, set/VBN, about/IN, Ben/NNP, the/DT, other/JJ, night/NN, and/CC, beat/VB, him/PRP, up/RB, !/.]",(ROOT (S (CC And) (NP (PRP she)) (ADVP (DT all)) (NP (NP (NN an-)) (CC and) (NP (PRP she))) (VP (VBD were) (ADVP (RB also)) (VP (VBG telling) (NP (PRP me)) (SBAR (IN that) (S (NP (NP (NN erm) (NNP Ben) (NN er)) (ADVP (NP (CD two) (NNS boys)) (IN at))) (VP (NN school) (S (S (VP (VBN set) (PP (IN about) (NP (NNP Ben))) (NP (DT the) (JJ other) (NN night)))) (CC and) (S (VP (VB beat) (NP (PRP him)) (ADVP (RB up)))))))))) (. !)))
24501,"(37,)",And Joe was so livid when he get in from work he went out and found them and smacked one of these kids nearly to death !,"[And/CC, Joe/NNP, was/VBD, so/RB, livid/JJ, when/WRB, he/PRP, get/VB, in/IN, from/IN, work/NN, he/PRP, went/VBD, out/RB, and/CC, found/VBD, them/PRP, and/CC, smacked/VBD, one/CD, of/IN, these/DT, kids/NNS, nearly/RB, to/TO, death/NN, !/.]",(ROOT (S (CC And) (NP (NNP Joe)) (VP (VP (VBD was) (ADJP (RB so) (JJ livid) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VB get) (PP (IN in) (IN from) (NP (NP (NN work)) (SBAR (S (NP (PRP he)) (VP (VP (VBD went) (ADVP (RB out))) (CC and) (VP (VBD found) (NP (PRP them))))))))))))) (CC and) (VP (VBD smacked) (NP (NP (CD one)) (PP (IN of) (NP (DT these) (NNS kids) (RB nearly)))) (PP (TO to) (NP (NN death))))) (. !)))
24501,"(38, 39)","Joe , she said Joe  could be in trouble , I said well","[Joe/NNP, ,/,, she/PRP, said/VBD, Joe/NNP, could/MD, be/VB, in/IN, trouble/NN, ,/,, I/PRP, said/VBD, well/RB]","(ROOT (FRAG (NP (NP (NNP Joe)) (SBAR (S (, ,) (S (NP (PRP she)) (VP (VBD said) (SBAR (S (NP (NNP Joe)) (VP (MD could) (VP (VB be) (PP (IN in) (NP (NN trouble))))))))) (, ,) (NP (PRP I)) (VP (VBD said) (ADVP (RB well))))))))"
24501,"(40,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
24501,"(41, 42, 43, 44, 45, 46)","I said it 's about time somebody started on these kids I mean  the- been a television programme this morning about people living in their homes  afraid of going out  because they 're getting molested and  and robbed , and one thing and another !","[I/PRP, said/VBD, it/PRP, 's/VBZ, about/IN, time/NN, somebody/NN, started/VBD, on/IN, these/DT, kids/NNS, I/PRP, mean/VBP, the-/RB, been/VBN, a/DT, television/NN, programme/NN, this/DT, morning/NN, about/IN, people/NNS, living/VBG, in/IN, their/PRP$, homes/NNS, afraid/JJ, of/IN, going/VBG, out/RP, because/IN, they/PRP, 're/VBP, getting/VBG, molested/VBN, and/CC, and/CC, robbed/VBN, ,/,, and/CC, one/CD, thing/NN, and/CC, another/DT, !/.]","(ROOT (S (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (SBAR (IN about) (S (NP (NN time) (NN somebody)) (VP (VBD started) (SBAR (S (PP (IN on) (NP (DT these) (NNS kids))) (NP (PRP I)) (VP (VBP mean) (ADVP (RB the-)) (VP (VBN been) (NP (NP (NP (DT a) (NN television) (NN programme)) (NP (DT this) (NN morning)) (PP (IN about) (NP (NP (NNS people)) (VP (VBG living) (PP (IN in) (NP (NP (PRP$ their) (NNS homes)) (ADJP (JJ afraid))))))) (PP (IN of) (S (VP (VBG going) (PRT (RP out)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG getting) (S (S (VP (VBN molested))) (CC and) (S (VP (CC and) (VP (VBN robbed))))))))))))) (, ,) (CC and) (NP (NP (CD one) (NN thing)) (CC and) (NP (DT another))))))))))))))) (. !)))"
24501,"(47,)",About time they started doing something about it !,"[About/IN, time/NN, they/PRP, started/VBD, doing/VBG, something/NN, about/IN, it/PRP, !/.]",(ROOT (S (PP (IN About) (NP (NN time))) (NP (PRP they)) (VP (VBD started) (S (VP (VBG doing) (NP (NN something)) (PP (IN about) (NP (PRP it)))))) (. !)))
24501,"(48, 49)",They don 't  you know who they 're looking for ?,"[They/PRP, don/VBP, 't/PRP, you/PRP, know/VBP, who/WP, they/PRP, 're/VBP, looking/VBG, for/IN, ?/.]",(ROOT (S (NP (PRP They)) (VP (VBP don) (NP (PRP 't)) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (WHNP (WP who)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG looking) (PP (IN for)))))))))) (. ?)))
24501,"(50,)",Those people who parking on double yellow lines !,"[Those/DT, people/NNS, who/WP, parking/NN, on/IN, double/JJ, yellow/JJ, lines/NNS, !/.]",(ROOT (NP (NP (NP (DT Those) (NNS people)) (SBAR (WHNP (WP who)))) (NP (NP (NN parking)) (PP (IN on) (NP (JJ double) (JJ yellow) (NNS lines)))) (. !)))
24501,"(51,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
