2228,"(0,)","Yeah , that 's cost ,  , no it isn 't here , yes it is .","[Yeah/UH, ,/,, that/DT, 's/VBZ, cost/NN, ,/,, ,/,, no/DT, it/PRP, isn/VBD, 't/PRP, here/RB, ,/,, yes/UH, it/PRP, is/VBZ, ./.]","(ROOT (S (S (INTJ (UH Yeah)) (, ,) (NP (DT that)) (VP (VBZ 's) (NP (NN cost))) (, ,)) (, ,) (S (NP (DT no) (PRP it)) (VP (VBD isn) (NP (PRP 't)) (ADVP (RB here)))) (, ,) (S (INTJ (UH yes)) (NP (PRP it)) (VP (VBZ is))) (. .)))"
2228,"(1,)","Gordon Bennett , that 's an enormous saving .","[Gordon/NNP, Bennett/NNP, ,/,, that/DT, 's/VBZ, an/DT, enormous/JJ, saving/NN, ./.]","(ROOT (S (NP (NNP Gordon) (NNP Bennett)) (, ,) (NP (DT that)) (VP (VBZ 's) (NP (DT an) (JJ enormous) (NN saving))) (. .)))"
2228,"(2,)",Does he   ?,"[Does/VBZ, he/PRP, ?/.]",(ROOT (S (VP (VBZ Does) (NP (PRP he))) (. ?)))
2228,"(3, 4)","Ooh ah  The trouble is the figures keep changing , all the rest of it , you have to stay rather more alert than you choose .","[Ooh/NNP, ah/NN, The/DT, trouble/NN, is/VBZ, the/DT, figures/NNS, keep/VBP, changing/VBG, ,/,, all/PDT, the/DT, rest/NN, of/IN, it/PRP, ,/,, you/PRP, have/VBP, to/TO, stay/VB, rather/RB, more/RBR, alert/JJ, than/IN, you/PRP, choose/VB, ./.]","(ROOT (S (S (NP (NP (NNP Ooh) (NN ah)) (SBAR (S (NP (DT The) (NN trouble)) (VP (VBZ is) (NP (DT the) (NNS figures)))))) (VP (VBP keep) (NP (NP (VBG changing)) (, ,) (NP (NP (PDT all) (DT the) (NN rest)) (PP (IN of) (NP (PRP it))))))) (, ,) (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB stay) (PP (RB rather) (ADJP (ADJP (RBR more) (JJ alert)) (SBAR (IN than) (S (NP (PRP you)) (VP (VB choose)))))))))) (. .)))"
2228,"(5,)",Go to   .,"[Go/VB, to/TO, ./.]",(ROOT (S (VP (VB Go) (PP (TO to))) (. .)))
2228,"(6, 7)",There 's a po- potential for a cock up is enormous .,"[There/EX, 's/VBZ, a/DT, po-/JJ, potential/NN, for/IN, a/DT, cock/NN, up/RP, is/VBZ, enormous/JJ, ./.]",(ROOT (S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT a) (JJ po-) (NN potential)) (PP (IN for) (NP (NP (DT a) (NN cock) (PRT (RP up))) (SBAR (S (VP (VBZ is) (ADJP (JJ enormous))))))))) (. .)))
2228,"(8,)",Probably never truly know   order .,"[Probably/RB, never/RB, truly/RB, know/VB, order/NN, ./.]",(ROOT (S (VP (ADVP (ADVP (RB Probably)) (PRN (ADVP (RB never)) (ADVP (RB truly)))) (VB know) (NP (NN order))) (. .)))
2228,"(9,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
