38910,"(0,)",Fancy going to the supermarket like that ?,"[Fancy/JJ, going/VBG, to/TO, the/DT, supermarket/NN, like/IN, that/IN, ?/.]",(ROOT (FRAG (ADJP (JJ Fancy)) (S (VP (VBG going) (PP (TO to) (NP (NP (DT the) (NN supermarket)) (PP (IN like) (X (IN that))))))) (. ?)))
38910,"(1, 2, 3)","I 'll put these on for erm  I bet erm  Bryant  > was sort of he wasn 't feeling he 's hard done by and i- in fact he , you know went","[I/PRP, 'll/MD, put/VB, these/DT, on/IN, for/IN, erm/NN, I/PRP, bet/VBP, erm/NNP, Bryant/NNP, >/JJR, was/VBD, sort/NN, of/IN, he/PRP, wasn/VBD, 't/PRP, feeling/VBG, he/PRP, 's/VBZ, hard/JJ, done/VBN, by/IN, and/CC, i-/NN, in/IN, fact/NN, he/PRP, ,/,, you/PRP, know/VBP, went/VBD]","(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB put) (S (SBAR (WHNP (NP (DT these)) (PP (IN on) (PP (IN for) (NP (NN erm))))) (S (NP (PRP I)) (VP (VBP bet) (S (NP (NNP erm) (NNP Bryant)) (ADJP (JJR >)) (S (VP (VBD was) (NP (NP (NN sort)) (PP (IN of) (S (S (NP (PRP he)) (VP (VBD wasn) (S (NP (PRP 't)) (VP (VBG feeling) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (ADVP (JJ hard)) (VP (VBN done) (PP (IN by)))))))))) (CC and) (S (NP (NP (NN i-)) (PP (IN in) (NP (NN fact)))) (NP (PRP he)))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (VP (VBD went))))))))))"
38910,"(4,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
38910,"(5, 6)",He 's always  pleasant .,"[He/PRP, 's/VBZ, always/RB, pleasant/JJ, ./.]",(ROOT (S (NP (PRP He)) (VP (VBZ 's) (ADVP (RB always)) (ADJP (JJ pleasant))) (. .)))
