11603,"(14,)","This little ginger one of ours , he 's , he 's a terrier , me uncle looked after a Staff a Staff Bull Terrier and er his name 's Winston   and he immediately walked through there as if he owns it , you know , the way they do .","[This/DT, little/JJ, ginger/NN, one/CD, of/IN, ours/JJ, ,/,, he/PRP, 's/VBZ, ,/,, he/PRP, 's/VBZ, a/DT, terrier/NN, ,/,, me/PRP, uncle/NNP, looked/VBD, after/IN, a/DT, Staff/NN, a/DT, Staff/NN, Bull/NN, Terrier/NN, and/CC, er/NN, his/PRP$, name/NN, 's/POS, Winston/NNP, and/CC, he/PRP, immediately/RB, walked/VBD, through/IN, there/EX, as/IN, if/IN, he/PRP, owns/VBZ, it/PRP, ,/,, you/PRP, know/VBP, ,/,, the/DT, way/NN, they/PRP, do/VBP, ./.]","(ROOT (S (NP (DT This) (JJ little) (NN ginger)) (VP (NP (NP (CD one)) (PP (IN of) (S (S (S (ADJP (JJ ours))) (, ,) (NP (PRP he)) (VP (VBZ 's) (, ,) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (NP (DT a) (NN terrier))))))) (, ,) (S (NP (PRP me)) (NP (NNP uncle)) (VP (VBD looked) (PP (IN after) (NP (NP (NP (DT a) (NN Staff)) (NP (DT a) (NN Staff) (NN Bull) (NN Terrier))) (CC and) (NP (NP (NN er)) (NP (NP (PRP$ his) (NN name) (POS 's)) (NNP Winston))))))) (CC and) (S (NP (PRP he)) (ADVP (RB immediately)) (VP (VBD walked) (PP (IN through) (NP (EX there))) (SBAR (IN as) (S (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ owns) (NP (PRP it))))) (, ,) (NP (PRP you)) (VP (VBP know))))))))) (, ,) (NP (NP (DT the) (NN way)) (SBAR (S (NP (PRP they)) (VP (VBP do)))))) (. .)))"
11603,"(15,)",And he scoffed all ginger 's grub,"[And/CC, he/PRP, scoffed/VBD, all/DT, ginger/NN, 's/POS, grub/NN]",(ROOT (S (CC And) (NP (PRP he)) (VP (VBD scoffed) (NP (NP (DT all) (NN ginger) (POS 's)) (NN grub)))))
11603,"(16,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
11603,"(17,)"," to the bathroom , you know , expecting a big welcome and there 's ginger lying there , he 's only about ooh of five inches long and he 's only about , weighs less than a   , immediately he 's backs arched and he 's hissing away there , his tail came up like   you know","[to/TO, the/DT, bathroom/NN, ,/,, you/PRP, know/VBP, ,/,, expecting/VBG, a/DT, big/JJ, welcome/JJ, and/CC, there/EX, 's/VBZ, ginger/NN, lying/VBG, there/RB, ,/,, he/PRP, 's/VBZ, only/RB, about/RB, ooh/NN, of/IN, five/CD, inches/NNS, long/RB, and/CC, he/PRP, 's/VBZ, only/RB, about/RB, ,/,, weighs/VBZ, less/JJR, than/IN, a/DT, ,/,, immediately/RB, he/PRP, 's/VBZ, backs/NNS, arched/VBD, and/CC, he/PRP, 's/VBZ, hissing/VBG, away/RB, there/RB, ,/,, his/PRP$, tail/NN, came/VBD, up/RP, like/IN, you/PRP, know/VBP]","(ROOT (S (S (PP (TO to) (NP (DT the) (NN bathroom))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG expecting) (NP (DT a) (JJ big) (JJ welcome)))))) (CC and) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NN ginger)) (VP (VBG lying) (ADVP (RB there)))))) (, ,) (S (NP (PRP he)) (VP (VBZ 's) (NP (NP (QP (RB only) (RB about)) (NN ooh)) (PP (IN of) (ADVP (NP (CD five) (NNS inches)) (RB long)))))) (CC and) (S (NP (PRP he)) (VP (VBZ 's) (NP (NP (RB only) (RB about)) (, ,) (SBAR (S (VP (VBZ weighs) (NP (QP (JJR less) (IN than) (DT a))))))))) (, ,) (S (ADVP (RB immediately)) (NP (PRP he)) (VP (VBZ 's) (NP (NP (NNS backs)) (SBAR (S (VP (VBD arched))))))) (CC and) (S (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG hissing) (ADVP (RB away) (RB there))))) (, ,) (NP (PRP$ his) (NN tail)) (VP (VBD came) (PRT (RP up)) (SBAR (IN like) (S (NP (PRP you)) (VP (VBP know))))))))"
11603,"(18,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
11603,"(19,)"," and er he stood there and old Winston 's trying to sniff him , giving it all the hissing , eventually   has gone  ?like this and   .","[and/CC, er/NN, he/PRP, stood/VBD, there/EX, and/CC, old/JJ, Winston/NNP, 's/POS, trying/VBG, to/TO, sniff/VB, him/PRP, ,/,, giving/VBG, it/PRP, all/PDT, the/DT, hissing/JJ, ,/,, eventually/RB, has/VBZ, gone/VBN, ?like/JJ, this/DT, and/CC, ./.]","(ROOT (S (CC and) (NP (NP (NN er)) (SBAR (S (NP (PRP he)) (VP (VBD stood) (S (NP (NP (EX there)) (CC and) (NP (JJ old) (NNP Winston) (POS 's))) (VP (VP (VBG trying) (S (VP (TO to) (VP (VB sniff) (NP (PRP him)))))) (, ,) (VP (VBG giving) (NP (PRP it)) (NP (PDT all) (NP (NP (DT the) (JJ hissing)) (, ,) (ADVP (RB eventually))))))))))) (VP (VBZ has) (VP (VBN gone) (ADJP (JJ ?like)) (ADVP (DT this) (CC and)))) (. .)))"
11603,"(20,)","Dog sort of stood there and   looked at   you know , he didn 't know where to put himself , let him , eventually he , he 's sort of , you can see it on his face   did that , fucking thing keep away from me   .","[Dog/NN, sort/NN, of/IN, stood/VBD, there/EX, and/CC, looked/VBD, at/IN, you/PRP, know/VBP, ,/,, he/PRP, didn/VBD, 't/PRP, know/VB, where/WRB, to/TO, put/VB, himself/PRP, ,/,, let/VB, him/PRP, ,/,, eventually/RB, he/PRP, ,/,, he/PRP, 's/VBZ, sort/NN, of/IN, ,/,, you/PRP, can/MD, see/VB, it/PRP, on/IN, his/PRP$, face/NN, did/VBD, that/DT, ,/,, fucking/JJ, thing/NN, keep/VB, away/RB, from/IN, me/PRP, ./.]","(ROOT (S (NP (NN Dog)) (ADVP (NN sort) (IN of)) (VP (VP (VBD stood) (S (NP (EX there)))) (CC and) (VP (VBD looked) (SBAR (S (SBAR (X (IN at)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP he)) (VP (VBD didn) (S (NP (PRP 't)) (VP (VB know) (S (SBAR (WHADVP (WRB where)) (S (VP (TO to) (VP (VB put) (S (NP (PRP himself)) (, ,) (VP (VB let) (NP (PRP him)))))))) (, ,) (ADVP (RB eventually)) (NP (PRP he)) (, ,) (NP (PRP he)) (VP (VBZ 's) (NP (NP (NN sort)) (PP (IN of) (PRN (, ,) (S (NP (PRP you)) (VP (MD can) (VP (VB see) (NP (PRP it)) (PP (IN on) (NP (NP (PRP$ his) (NN face)) (VP (VBD did) (NP (DT that)))))))) (, ,)) (NP (JJ fucking) (NN thing)))))))))))) (VP (VB keep) (ADVP (RB away)) (PP (IN from) (NP (PRP me))))) (. .)))"
11603,"(21,)",Stopped on   .,"[Stopped/VBN, on/RP, ./.]",(ROOT (S (VP (VBN Stopped) (PRT (RP on))) (. .)))
11603,"(22,)",  .,[./.],(ROOT (NP (. .)))
11603,"(23,)","Say don 't let it me near , I don 't want anything to do with it .","[Say/VB, don/NNP, 't/PRP, let/VB, it/PRP, me/PRP, near/IN, ,/,, I/PRP, don/VBP, 't/PRP, want/VB, anything/NN, to/TO, do/VB, with/IN, it/PRP, ./.]","(ROOT (S (S (VP (VB Say) (NP (NP (NNP don)) (SBAR (S (NP (PRP 't)) (VP (VB let) (S (NP (PRP it)) (NP (PRP me))))))) (PP (IN near)))) (, ,) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB want) (NP (NN anything)) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (PRP it))))))))) (. .)))"
