7101,"(22,)",I just asked why there 's onions in it,"[I/PRP, just/RB, asked/VBD, why/WRB, there/EX, 's/VBZ, onions/NNS, in/IN, it/PRP]",(ROOT (S (NP (PRP I)) (VP (ADVP (RB just)) (VBD asked) (SBAR (WHADVP (WRB why)) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NNS onions)) (PP (IN in) (NP (PRP it))))))))))
7101,"(23,)",Because I always used to toss it in,"[Because/IN, I/PRP, always/RB, used/VBD, to/TO, toss/VB, it/PRP, in/IN]",(ROOT (SBAR (IN Because) (S (NP (PRP I)) (ADVP (RB always)) (VP (VBD used) (S (VP (TO to) (VP (VB toss) (NP (PRP it)) (PP (IN in)))))))))
7101,"(24,)",So you just changed your mind and put it in,"[So/RB, you/PRP, just/RB, changed/VBD, your/PRP$, mind/NN, and/CC, put/VBD, it/PRP, in/IN]",(ROOT (ADJP (RB So) (SBAR (S (NP (PRP you)) (VP (VP (ADVP (RB just)) (VBD changed) (NP (PRP$ your) (NN mind))) (CC and) (VP (VBD put) (NP (PRP it)) (PP (IN in))))))))
7101,"(25,)",I just decided to put it in to see if it tastes better   .,"[I/PRP, just/RB, decided/VBD, to/TO, put/VB, it/PRP, in/IN, to/TO, see/VB, if/IN, it/PRP, tastes/VBZ, better/JJR, ./.]",(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD decided) (S (VP (TO to) (VP (VB put) (NP (PRP it)) (PP (IN in)) (S (VP (TO to) (VP (VB see) (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ tastes) (ADJP (JJR better)))))))))))) (. .)))
7101,"(26,)",If it 's a problem throw it all away .,"[If/IN, it/PRP, 's/VBZ, a/DT, problem/NN, throw/VB, it/PRP, all/DT, away/RB, ./.]",(ROOT (S (SBAR (IN If) (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (NN problem))))) (VP (VB throw) (NP (PRP it)) (ADVP (DT all) (RB away))) (. .)))
7101,"(27,)",I 'm sick to death of it .,"[I/PRP, 'm/VBP, sick/JJ, to/TO, death/NN, of/IN, it/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sick) (PP (TO to) (NP (NP (NN death)) (PP (IN of) (NP (PRP it))))))) (. .)))
7101,"(28,)",and I put pasta and it was nice except,"[and/CC, I/PRP, put/VBP, pasta/NN, and/CC, it/PRP, was/VBD, nice/JJ, except/IN]",(ROOT (PRN (CC and) (S (S (NP (PRP I)) (VP (VBP put) (NP (NN pasta)))) (CC and) (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ nice) (PP (IN except))))))))
7101,"(29,)",I just asked a question .,"[I/PRP, just/RB, asked/VBD, a/DT, question/NN, ./.]",(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD asked) (NP (DT a) (NN question))) (. .)))
7101,"(30,)",Don 't carry on,"[Don/NNP, 't/PRP, carry/VBP, on/IN]",(ROOT (FRAG (NP (NP (NNP Don)) (SBAR (S (NP (PRP 't)) (VP (VBP carry) (PP (IN on))))))))
7101,"(31,)",Well why did you say that the other day then ?,"[Well/RB, why/WRB, did/VBD, you/PRP, say/VBP, that/IN, the/DT, other/JJ, day/NN, then/RB, ?/.]",(ROOT (SBARQ (WHADVP (ADVP (RB Well)) (WRB why)) (SQ (VBD did) (NP (PRP you)) (VP (VBP say) (PP (IN that) (NP (DT the) (JJ other) (NN day))) (ADVP (RB then)))) (. ?)))
7101,"(32,)",It was nice but the next time you do it can you not put such and such in it .,"[It/PRP, was/VBD, nice/JJ, but/CC, the/DT, next/JJ, time/NN, you/PRP, do/VBP, it/PRP, can/MD, you/PRP, not/RB, put/VB, such/JJ, and/CC, such/JJ, in/IN, it/PRP, ./.]",(ROOT (S (S (NP (PRP It)) (VP (VBD was) (ADJP (JJ nice)))) (CC but) (S (NP (DT the) (JJ next) (NN time)) (NP (PRP you)) (VP (VBP do) (SBAR (S (NP (PRP it)) (VP (MD can) (ADVP (PRP you)) (RB not) (VP (VB put) (ADJP (JJ such) (CC and) (JJ such)) (PP (IN in) (NP (PRP it))))))))) (. .)))
7101,"(33,)",Yes well what is the point ,"[Yes/RB, well/RB, what/WP, is/VBZ, the/DT, point/NN]",(ROOT (FRAG (ADVP (ADVP (RB Yes)) (RB well)) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (NP (DT the) (NN point)))))))
7101,"(34,)",Well what is the point in me cooking ?,"[Well/RB, what/WP, is/VBZ, the/DT, point/NN, in/IN, me/PRP, cooking/NN, ?/.]",(ROOT (SBARQ (ADVP (RB Well)) (WHNP (WP what)) (SQ (VP (VBZ is) (NP (DT the) (ADJP (NN point) (PP (IN in) (NP (PRP me)))) (NN cooking)))) (. ?)))
