15403,"(22,)","They said that , he 's just phoned the firm .","[They/PRP, said/VBD, that/IN, ,/,, he/PRP, 's/VBZ, just/RB, phoned/VBN, the/DT, firm/NN, ./.]","(ROOT (S (NP (PRP They)) (VP (VBD said) (SBAR (IN that) (, ,) (S (NP (PRP he)) (VP (VBZ 's) (ADVP (RB just)) (VP (VBN phoned) (NP (DT the) (NN firm))))))) (. .)))"
15403,"(23, 24)",He 's up in  tut oh god where is it ?,"[He/PRP, 's/VBZ, up/RP, in/IN, tut/NNP, oh/UH, god/NNP, where/WRB, is/VBZ, it/PRP, ?/.]",(ROOT (S (NP (PRP He)) (VP (VBZ 's) (ADVP (RP up) (PP (IN in) (NP (NNP tut)))) (NP (INTJ (UH oh)) (NP (NNP god))) (SBAR (WHADVP (WRB where)) (S (VP (VBZ is) (NP (PRP it)))))) (. ?)))
15403,"(25,)",It 's up er Landsford Park,"[It/PRP, 's/VBZ, up/RP, er/NN, Landsford/NNP, Park/NNP]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADVP (RP up)) (NP (NN er) (NNP Landsford) (NNP Park)))))
15403,"(26,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15403,"(27,)",wherever that is .,"[wherever/WRB, that/DT, is/VBZ, ./.]",(ROOT (FRAG (SBAR (WHADVP (WRB wherever)) (S (NP (DT that)) (VP (VBZ is)))) (. .)))
15403,"(28,)",London I think .,"[London/NNP, I/PRP, think/VBP, ./.]",(ROOT (S (NP (NNP London) (PRP I)) (VP (VBP think)) (. .)))
15403,"(29,)",And he said that he 'd phoned them and said could they change it and he 'd finish at eleven then he can still start tomorrow night again at quarter to one  .,"[And/CC, he/PRP, said/VBD, that/IN, he/PRP, 'd/MD, phoned/VBN, them/PRP, and/CC, said/VBD, could/MD, they/PRP, change/VB, it/PRP, and/CC, he/PRP, 'd/MD, finish/VB, at/IN, eleven/CD, then/RB, he/PRP, can/MD, still/RB, start/VB, tomorrow/NN, night/NN, again/RB, at/IN, quarter/NN, to/TO, one/CD, ./.]",(ROOT (S (CC And) (S (S (NP (PRP he)) (VP (VP (VBD said) (SBAR (IN that) (S (NP (PRP he)) (VP (MD 'd) (VP (VBN phoned) (NP (PRP them))))))) (CC and) (VP (VBD said) (SBAR (SINV (MD could) (NP (PRP they)) (VP (VB change) (NP (PRP it)))))))) (CC and) (S (NP (PRP he)) (VP (MD 'd) (VP (VB finish) (PP (IN at) (NP (CD eleven))))))) (RB then) (S (NP (PRP he)) (VP (MD can) (ADVP (RB still)) (VP (VB start) (NP (NN tomorrow) (NN night)) (ADVP (RB again)) (PP (IN at) (NP (NN quarter))) (PP (TO to) (NP (CD one)))))) (. .)))
15403,"(30,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15403,"(31,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15403,"(32,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15403,"(33,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
15403,"(34,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
15403,"(35,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
15403,"(36,)",And he said if they can get someone else for the run they will .,"[And/CC, he/PRP, said/VBD, if/IN, they/PRP, can/MD, get/VB, someone/NN, else/RB, for/IN, the/DT, run/NN, they/PRP, will/MD, ./.]",(ROOT (S (CC And) (NP (PRP he)) (VP (VBD said) (SBAR (IN if) (S (NP (PRP they)) (VP (MD can) (VP (VB get) (NP (NP (NN someone) (RB else)) (PP (IN for) (NP (NP (DT the) (NN run)) (SBAR (S (NP (PRP they)) (VP (MD will)))))))))))) (. .)))
15403,"(37,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
15403,"(38,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15403,"(39,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15403,"(40, 41)",But er  mm what else was we saying ?,"[But/CC, er/NN, mm/NN, what/WDT, else/RB, was/VBD, we/PRP, saying/VBG, ?/.]",(ROOT (FRAG (CC But) (NP (NP (NN er) (NN mm)) (SBAR (WHNP (WDT what)) (S (ADVP (RB else)) (VP (VBD was) (NP (NP (PRP we)) (VP (VBG saying))))))) (. ?)))
15403,"(42, 43)",Well we were talking about the general  lack of faith in governments  ,"[Well/RB, we/PRP, were/VBD, talking/VBG, about/IN, the/DT, general/JJ, lack/NN, of/IN, faith/NN, in/IN, governments/NNS]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (PRP we)) (SBAR (S (VP (VBD were) (VP (VBG talking) (PP (IN about) (NP (NP (DT the) (JJ general) (NN lack)) (PP (IN of) (NP (NN faith))))) (PP (IN in) (NP (NNS governments))))))))))
15403,"(44,)", you was telling me about a suit .,"[you/PRP, was/VBD, telling/VBG, me/PRP, about/IN, a/DT, suit/NN, ./.]",(ROOT (S (NP (PRP you)) (VP (VBD was) (VP (VBG telling) (NP (PRP me)) (PP (IN about) (NP (DT a) (NN suit))))) (. .)))
