40906,"(14,)","Cos it 's super , he was selling that for eight or nine quid   you know .","[Cos/NN, it/PRP, 's/VBZ, super/JJ, ,/,, he/PRP, was/VBD, selling/VBG, that/DT, for/IN, eight/CD, or/CC, nine/CD, quid/NN, you/PRP, know/VBP, ./.]","(ROOT (S (NP (NP (NN Cos)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ super)))))) (, ,) (NP (PRP he)) (VP (VBD was) (VP (VBG selling) (NP (NP (NP (DT that)) (PP (IN for) (NP (CD eight)))) (CC or) (NP (NP (CD nine) (NN quid)) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))) (. .)))"
40906,"(15,)",Cor yes !,"[Cor/NNP, yes/UH, !/.]",(ROOT (S (VP (PP (NNP Cor) (NP (UH yes)))) (. !)))
40906,"(16,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
40906,"(17,)",It might be worth giving him a bell to let him know what 's happening cos,"[It/PRP, might/MD, be/VB, worth/JJ, giving/VBG, him/PRP, a/DT, bell/NN, to/TO, let/VB, him/PRP, know/VB, what/WP, 's/VBZ, happening/VBG, cos/NN]",(ROOT (S (NP (PRP It)) (VP (MD might) (VP (VB be) (ADJP (JJ worth)) (S (VP (VBG giving) (NP (PRP him)) (NP (DT a) (NN bell) (S (VP (TO to) (VP (VB let) (S (NP (PRP him)) (VP (VB know) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBG happening) (NP (NN cos))))))))))))))))))
40906,"(18,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
40906,"(19, 20)"," Brand new Toshiba hand sets , give him the model number .","[Brand/NN, new/JJ, Toshiba/NNP, hand/NN, sets/NNS, ,/,, give/VB, him/PRP, the/DT, model/NN, number/NN, ./.]","(ROOT (S (VP (NN Brand) (S (NP (JJ new) (NNP Toshiba) (NN hand) (NNS sets)) (, ,) (VP (VB give) (NP (PRP him)) (NP (DT the) (NN model) (NN number))))) (. .)))"
40906,"(21,)",The only problem is you see I 'd like to try and get more Toshibas off him .,"[The/DT, only/JJ, problem/NN, is/VBZ, you/PRP, see/VBP, I/PRP, 'd/MD, like/VB, to/TO, try/VB, and/CC, get/VB, more/JJR, Toshibas/NNS, off/IN, him/PRP, ./.]",(ROOT (S (NP (DT The) (JJ only) (NN problem)) (VP (VBZ is) (SBAR (S (NP (PRP you)) (VP (VBP see) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB like) (S (VP (TO to) (VP (VB try) (CC and) (VB get) (NP (JJR more) (NNS Toshibas)) (PP (IN off) (NP (PRP him)))))))))))))) (. .)))
40906,"(22,)",He might sell a lot more if he had the hand units .,"[He/PRP, might/MD, sell/VB, a/DT, lot/NN, more/RBR, if/IN, he/PRP, had/VBD, the/DT, hand/NN, units/NNS, ./.]",(ROOT (S (NP (PRP He)) (VP (MD might) (VP (VB sell) (NP (DT a) (NN lot)) (ADVP (ADVP (RBR more)) (SBAR (IN if) (S (NP (PRP he)) (VP (VBD had) (NP (DT the) (NN hand) (NNS units)))))))) (. .)))
40906,"(23,)",That 's true .,"[That/DT, 's/VBZ, true/JJ, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ true))) (. .)))
40906,"(24,)",We might be,"[We/PRP, might/MD, be/VB]",(ROOT (S (NP (PRP We)) (VP (MD might) (VP (VB be)))))
