39609,"(22, 23)","And I learnt from various teachers that when you go to these private schools and they 've been to   schools , they hold them back  because they like , they don 't like the","[And/CC, I/PRP, learnt/VBD, from/IN, various/JJ, teachers/NNS, that/WDT, when/WRB, you/PRP, go/VBP, to/TO, these/DT, private/JJ, schools/NNS, and/CC, they/PRP, 've/VBP, been/VBN, to/TO, schools/NNS, ,/,, they/PRP, hold/VBP, them/PRP, back/RB, because/IN, they/PRP, like/VBP, ,/,, they/PRP, don/VBP, 't/PRP, like/IN, the/DT]","(ROOT (S (CC And) (NP (PRP I)) (VP (VBD learnt) (PP (IN from) (NP (JJ various) (NNS teachers))) (SBAR (WHNP (WDT that)) (S (SBAR (WHADVP (WRB when)) (S (S (NP (PRP you)) (VP (VBP go) (PP (TO to) (NP (DT these) (JJ private) (NNS schools))))) (CC and) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN been) (PP (TO to) (NP (NNS schools)))))))) (PRN (, ,) (S (NP (PRP they)) (VP (VBP hold) (NP (PRP them)) (ADVP (RB back)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP like)))))) (, ,)) (NP (PRP they)) (VP (VBP don) (NP (PRP 't)) (PP (IN like) (NP (DT the)))))))))"
39609,"(24,)",They don 't like somebody,"[They/PRP, don/VBP, 't/PRP, like/IN, somebody/NN]",(ROOT (S (NP (PRP They)) (VP (VBP don) (NP (PRP 't)) (PP (IN like) (NP (NN somebody))))))
39609,"(25,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
39609,"(26,)",They,[They/PRP],(ROOT (FRAG (NP (PRP They))))
39609,"(27,)",That 's right !,"[That/DT, 's/VBZ, right/JJ, !/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. !)))
39609,"(28,)","they , they like  ","[they/PRP, ,/,, they/PRP, like/VBP]","(ROOT (NP (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP like)))))"
39609,"(29,)",it it it upsets the system !,"[it/PRP, it/PRP, it/PRP, upsets/NNS, the/DT, system/NN, !/.]",(ROOT (NP (NP (PRP it)) (NP (NP (PRP it)) (NP (PRP it))) (NP (NP (NNS upsets)) (NP (DT the) (NN system))) (. !)))
39609,"(30,)",Yep !,"[Yep/RB, !/.]",(ROOT (FRAG (ADVP (RB Yep)) (. !)))
39609,"(31,)",But like there   and be all the same and that really upset me !,"[But/CC, like/IN, there/EX, and/CC, be/VB, all/PDT, the/DT, same/JJ, and/CC, that/IN, really/RB, upset/JJ, me/PRP, !/.]",(ROOT (FRAG (CC But) (PP (IN like) (NP (NP (EX there)) (CC and) (S (VP (VB be) (NP (NP (PDT all) (DT the)) (ADJP (ADJP (JJ same)) (CC and) (ADJP (ADVP (IN that) (RB really)) (JJ upset)) (NP (PRP me))))))) (. !))))
39609,"(32,)",And I thought my God you know we 've got him really on this far,"[And/CC, I/PRP, thought/VBD, my/PRP$, God/NNP, you/PRP, know/VBP, we/PRP, 've/VBP, got/VBD, him/PRP, really/RB, on/IN, this/DT, far/RB]",(ROOT (S (CC And) (NP (PRP I)) (VP (VBD thought) (NP (NP (PRP$ my) (NNP God)) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBD got) (NP (PRP him)) (ADVP (RB really)) (PP (IN on) (NP (DT this))) (ADVP (RB far)))))))))))))
39609,"(33,)",That 's right !,"[That/DT, 's/VBZ, right/JJ, !/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. !)))
39609,"(34,)",And then it gets held back !,"[And/CC, then/RB, it/PRP, gets/VBZ, held/VBN, back/RB, !/.]",(ROOT (S (CC And) (ADVP (RB then)) (NP (PRP it)) (VP (VBZ gets) (VP (VBN held) (ADVP (RB back)))) (. !)))
39609,"(35,)",and then he played in the afternoons !,"[and/CC, then/RB, he/PRP, played/VBD, in/IN, the/DT, afternoons/NNS, !/.]",(ROOT (S (CC and) (ADVP (RB then)) (NP (PRP he)) (VP (VBD played) (PP (IN in) (NP (DT the) (NNS afternoons)))) (. !)))
39609,"(36, 37, 38)","And I  i-  , you know at six and I said my God  he did that at Abbotsbury when he was four !","[And/CC, I/PRP, i-/RB, ,/,, you/PRP, know/VBP, at/IN, six/CD, and/CC, I/PRP, said/VBD, my/PRP$, God/NNP, he/PRP, did/VBD, that/DT, at/IN, Abbotsbury/NNP, when/WRB, he/PRP, was/VBD, four/CD, !/.]","(ROOT (S (CC And) (S (NP (PRP I)) (ADVP (RB i-)) (, ,) (NP (PRP you)) (VP (VBP know) (PP (IN at) (NP (CD six))))) (CC and) (S (NP (PRP I)) (VP (VBD said) (NP (NP (PRP$ my) (NNP God)) (SBAR (S (NP (PRP he)) (VP (VBD did) (NP (DT that)) (PP (IN at) (NP (NNP Abbotsbury))) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD was) (NP (CD four))))))))))) (. !)))"
39609,"(39,)",That 's right !,"[That/DT, 's/VBZ, right/JJ, !/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. !)))
39609,"(40,)","And so ,i- I mean it was to me it was a total waste of time over there !","[And/CC, so/RB, ,i-/JJ, I/PRP, mean/VBP, it/PRP, was/VBD, to/TO, me/PRP, it/PRP, was/VBD, a/DT, total/JJ, waste/NN, of/IN, time/NN, over/IN, there/EX, !/.]","(ROOT (FRAG (CC And) (NP (NP (RB so) (JJ ,i-)) (SBAR (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP it)) (VP (VBD was) (PP (TO to) (NP (PRP me)))))))))) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (JJ total) (NN waste)) (PP (IN of) (NP (NP (NN time)) (PP (IN over) (NP (EX there))))))))) (. !)))"
39609,"(41,)",I 'll be honest with you .,"[I/PRP, 'll/MD, be/VB, honest/JJ, with/IN, you/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB be) (ADJP (JJ honest) (PP (IN with) (NP (PRP you)))))) (. .)))
39609,"(42,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39609,"(43,)",And I live so near,"[And/CC, I/PRP, live/VBP, so/RB, near/IN]",(ROOT (S (CC And) (NP (PRP I)) (VP (VBP live) (ADVP (RB so)) (PP (IN near)))))
39609,"(44,)",I know !,"[I/PRP, know/VBP, !/.]",(ROOT (S (NP (PRP I)) (VP (VBP know)) (. !)))
39609,"(45,)","that damn school it really , I thought","[that/DT, damn/JJ, school/NN, it/PRP, really/RB, ,/,, I/PRP, thought/VBD]","(ROOT (FRAG (NP (NP (DT that) (JJ damn) (NN school)) (SBAR (S (NP (PRP it)) (ADVP (RB really)) (, ,) (NP (PRP I)) (VP (VBD thought)))))))"
39609,"(46,)",It 's a shame because years ago when Miss what was her,"[It/PRP, 's/VBZ, a/DT, shame/NN, because/IN, years/NNS, ago/RB, when/WRB, Miss/NNP, what/WP, was/VBD, her/PRP$]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN shame)) (PP (IN because) (ADVP (NP (NNS years)) (RB ago))) (SBAR (WHADVP (WRB when)) (FRAG (NP (NNP Miss)) (SBAR (WHNP (WP what)) (S (VP (VBD was) (NP (PRP$ her))))))))))
39609,"(47,)",Miss >  .,"[Miss/NNP, >/JJR, ./.]",(ROOT (S (NP (NNP Miss)) (ADJP (JJR >)) (. .)))
39609,"(48, 49, 50)",Miss   > and they had a lovely violin group there  and,"[Miss/NNP, >/JJR, and/CC, they/PRP, had/VBD, a/DT, lovely/JJ, violin/NN, group/NN, there/RB, and/CC]",(ROOT (S (NP (NP (NNP Miss)) (UCP (ADJP (JJR >)) (CC and) (NP (PRP they)))) (VP (VBD had) (NP (NP (DT a) (JJ lovely) (NN violin) (NN group)) (ADVP (RB there))) (ADVP (CC and)))))
39609,"(51,)",But it 's down to head though isn 't it ?,"[But/CC, it/PRP, 's/VBZ, down/RB, to/TO, head/VB, though/IN, isn/NN, 't/PRP, it/PRP, ?/.]",(ROOT (S (CC But) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB down) (S (VP (TO to) (VP (VP (VB head) (SBAR (IN though) (S (NP (NN isn)) (NP (PRP 't))))) (NP (PRP it))))))) (. ?)))
39609,"(52,)",I mean,"[I/PRP, mean/VBP]",(ROOT (S (NP (PRP I)) (VP (VBP mean))))
39609,"(53,)",You know ?,"[You/PRP, know/VB, ?/.]",(ROOT (S (NP (PRP You)) (VP (VB know)) (. ?)))
39609,"(54,)","and you know , and it was tremendous !","[and/CC, you/PRP, know/VBP, ,/,, and/CC, it/PRP, was/VBD, tremendous/JJ, !/.]","(ROOT (S (S (CC and) (NP (PRP you)) (VP (VBP know))) (, ,) (CC and) (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ tremendous)))) (. !)))"
