38003,"(0,)",Which page ?,"[Which/WDT, page/NN, ?/.]",(ROOT (FRAG (WHNP (WDT Which) (NN page)) (. ?)))
38003,"(23, 24, 25, 26, 27, 28)","Now the decimal equivalent of hundred and twenty  is one point two  and there you 've got nought and nought  a hundred and one  so ninety percent is point nine , eighty percent is point eight  and a hundred and ten percent is one point one , and a hundred and twenty percent is one point two .","[Now/RB, the/DT, decimal/JJ, equivalent/NN, of/IN, hundred/CD, and/CC, twenty/CD, is/VBZ, one/CD, point/NN, two/CD, and/CC, there/EX, you/PRP, 've/VBP, got/VBN, nought/NN, and/CC, nought/NN, a/DT, hundred/CD, and/CC, one/CD, so/CC, ninety/CD, percent/NN, is/VBZ, point/NN, nine/CD, ,/,, eighty/CD, percent/NN, is/VBZ, point/NN, eight/CD, and/CC, a/DT, hundred/CD, and/CC, ten/CD, percent/NN, is/VBZ, one/CD, point/NN, one/CD, ,/,, and/CC, a/DT, hundred/CD, and/CC, twenty/CD, percent/NN, is/VBZ, one/CD, point/NN, two/CD, ./.]","(ROOT (S (ADVP (RB Now)) (NP (NP (DT the) (JJ decimal) (NN equivalent)) (PP (IN of) (NP (CD hundred) (CC and) (CD twenty)))) (VP (VBZ is) (NP (NP (NP (CD one) (NN point)) (NP (CD two))) (CC and) (NP (NP (EX there)) (SBAR (S (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (NP (NN nought) (CC and) (NN nought)) (SBAR (S (NP (DT a) (NP (NP (CD hundred) (CC and) (CD one)) (SBAR (S (S (CC so) (NP (CD ninety) (NN percent)) (VP (VBZ is) (NP (NN point) (CD nine)))) (, ,) (S (NP (CD eighty) (NN percent)) (VP (VBZ is) (NP (NP (NN point) (CD eight)) (CC and) (NP (DT a) (CD hundred))))) (CC and) (S (NP (CD ten) (NN percent)) (VP (VBZ is) (NP (NP (NP (CD one) (NN point)) (NP (CD one))) (, ,) (CC and) (NP (QP (DT a) (CD hundred))))))))) (CC and) (NP (CD twenty) (NN percent))) (VP (VBZ is) (NP (NP (CD one) (NN point)) (NP (CD two)))))))))))))) (. .)))"
38003,"(29, 30, 31, 32, 33, 34, 35, 36)","So what you 're doing , in fact  is to  if you 've got a hundred and twenty  percent  if you divide that by  of a hundred  in other words , you move your decimal point two places  that 's a decimal .","[So/RB, what/WP, you/PRP, 're/VBP, doing/VBG, ,/,, in/IN, fact/NN, is/VBZ, to/TO, if/IN, you/PRP, 've/VBP, got/VBD, a/DT, hundred/CD, and/CC, twenty/CD, percent/NN, if/IN, you/PRP, divide/VBP, that/IN, by/IN, of/IN, a/DT, hundred/CD, in/IN, other/JJ, words/NNS, ,/,, you/PRP, move/VBP, your/PRP$, decimal/JJ, point/NN, two/CD, places/NNS, that/WDT, 's/VBZ, a/DT, decimal/JJ, ./.]","(ROOT (S (RB So) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG doing))))) (, ,) (NP (IN in) (NN fact)) (VP (VBZ is) (PP (TO to) (SBAR (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (NP (DT a) (CD hundred)))))) (CC and) (SBAR (NP (CD twenty) (NN percent)) (IN if) (S (NP (PRP you)) (VP (VBP divide) (SBAR (IN that) (S (PP (IN by) (PP (IN of) (NP (NP (DT a) (CD hundred)) (PP (IN in) (NP (JJ other) (NNS words)))))) (, ,) (NP (PRP you)) (VP (VBP move) (NP (PRP$ your) (JJ decimal) (NN point) (CD two) (NNS places)))))))) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (NP (DT a) (JJ decimal)))))))) (. .)))"
38003,"(37, 38, 39)",So a hundred and twenty percent  as a decimal fraction is one  point two .,"[So/IN, a/DT, hundred/CD, and/CC, twenty/CD, percent/NN, as/IN, a/DT, decimal/JJ, fraction/NN, is/VBZ, one/CD, point/NN, two/CD, ./.]",(ROOT (S (IN So) (NP (NP (DT a) (CD hundred)) (CC and) (NP (NP (CD twenty) (NN percent)) (PP (IN as) (NP (DT a) (JJ decimal) (NN fraction))))) (VP (VBZ is) (NP (NP (CD one) (NN point)) (NP (CD two)))) (. .)))
38003,"(40, 41, 42)",All you do  is to  move that decimal point two places .,"[All/DT, you/PRP, do/VBP, is/VBZ, to/TO, move/VB, that/IN, decimal/JJ, point/NN, two/CD, places/NNS, ./.]",(ROOT (S (NP (NP (DT All)) (SBAR (S (NP (PRP you)) (VP (VBP do))))) (VP (VBZ is) (S (VP (TO to) (VP (VB move) (SBAR (IN that) (FRAG (NP (NP (JJ decimal) (NN point)) (NP (CD two) (NNS places))))))))) (. .)))
38003,"(43,)",Alright ?,"[Alright/NNP, ?/.]",(ROOT (FRAG (NP (NNP Alright)) (. ?)))
38003,"(44, 45, 46, 47, 48)",So  to calculate a hundred and twenty percent of amount  to calculate a hundred and twenty percent of an amount you multiply  by  one point two .,"[So/RB, to/TO, calculate/VB, a/DT, hundred/CD, and/CC, twenty/CD, percent/NN, of/IN, amount/NN, to/TO, calculate/VB, a/DT, hundred/CD, and/CC, twenty/CD, percent/NN, of/IN, an/DT, amount/NN, you/PRP, multiply/VBP, by/IN, one/CD, point/NN, two/CD, ./.]",(ROOT (S (RB So) (VP (TO to) (VP (VB calculate) (NP (NP (DT a) (CD hundred)) (CC and) (NP (NP (CD twenty) (NN percent)) (PP (IN of) (NP (NN amount))))) (S (VP (TO to) (VP (VB calculate) (NP (NP (DT a) (CD hundred)) (CC and) (NP (NP (CD twenty) (NN percent)) (PP (IN of) (NP (NP (DT an) (NN amount)) (SBAR (S (NP (PRP you)) (VP (VBP multiply) (PP (IN by) (NP (CD one))) (NP (NN point) (CD two)))))))))))))) (. .)))
38003,"(49, 50, 51)",If you wanted to calculate  eighty percent of an amount  you would multiply by point eight .,"[If/IN, you/PRP, wanted/VBD, to/TO, calculate/VB, eighty/CD, percent/NN, of/IN, an/DT, amount/NN, you/PRP, would/MD, multiply/VB, by/IN, point/NN, eight/CD, ./.]",(ROOT (S (SBAR (IN If) (S (NP (PRP you)) (VP (VBD wanted) (S (VP (TO to) (VP (VB calculate) (NP (NP (CD eighty) (NN percent)) (PP (IN of) (NP (DT an) (NN amount)))))))))) (NP (PRP you)) (VP (MD would) (VP (VB multiply) (PP (IN by) (NP (NN point) (CD eight))))) (. .)))
38003,"(52,)",A hundred and twenty percent you are multiplying by the decimal equivalent which is one point two .,"[A/DT, hundred/CD, and/CC, twenty/CD, percent/NN, you/PRP, are/VBP, multiplying/VBG, by/IN, the/DT, decimal/JJ, equivalent/NN, which/WDT, is/VBZ, one/CD, point/NN, two/CD, ./.]",(ROOT (S (NP (NP (DT A) (CD hundred)) (CC and) (NP (CD twenty) (NN percent))) (NP (PRP you)) (VP (VBP are) (VP (VBG multiplying) (PP (IN by) (NP (NP (DT the) (JJ decimal) (NN equivalent)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (NP (NP (CD one) (NN point)) (NP (CD two)))))))))) (. .)))
38003,"(53, 54)",So write down  decimal equivalent of a hundred and forty percent .,"[So/RB, write/VB, down/RP, decimal/JJ, equivalent/NN, of/IN, a/DT, hundred/CD, and/CC, forty/CD, percent/NN, ./.]",(ROOT (S (RB So) (VP (VB write) (PRT (RP down)) (NP (NP (JJ decimal) (NN equivalent)) (PP (IN of) (NP (DT a) (CD hundred) (CC and) (CD forty) (NN percent))))) (. .)))
38003,"(55,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
38003,"(56, 57, 58)",Now calculate a hundred and forty percent  of seven point five  kilogrammes .,"[Now/RB, calculate/VBP, a/DT, hundred/CD, and/CC, forty/CD, percent/NN, of/IN, seven/CD, point/NN, five/CD, kilogrammes/NNS, ./.]",(ROOT (S (NP (RB Now)) (VP (VBP calculate) (NP (NP (DT a) (CD hundred)) (CC and) (NP (NP (NP (CD forty) (NN percent)) (PP (IN of) (NP (CD seven) (NN point)))) (NP (CD five) (NNS kilogrammes))))) (. .)))
38003,"(59,)","Have you got a , you 've got a calculator haven 't you ?","[Have/VB, you/PRP, got/VBD, a/DT, ,/,, you/PRP, 've/VBP, got/VBD, a/DT, calculator/NN, haven/NN, 't/PRP, you/PRP, ?/.]","(ROOT (S (S (VP (VB Have) (S (NP (PRP you)) (VP (VBD got) (NP (DT a)))))) (, ,) (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (S (NP (NP (DT a) (NN calculator) (NN haven)) (NP (PRP 't))) (NP (PRP you))))) (. ?)))"
38003,"(60,)",Haven 't got it with you ?,"[Haven/NNP, 't/PRP, got/VBD, it/PRP, with/IN, you/PRP, ?/.]",(ROOT (S (NP (NNP Haven) (PRP 't)) (VP (VBD got) (NP (PRP it)) (PP (IN with) (NP (PRP you)))) (. ?)))
38003,"(61,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
38003,"(62,)",But you 've got your own ?,"[But/CC, you/PRP, 've/VBP, got/VBN, your/PRP$, own/JJ, ?/.]",(ROOT (S (CC But) (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (PRP$ your) (JJ own)))) (. ?)))
38003,"(63,)",Scientific one ?,"[Scientific/JJ, one/CD, ?/.]",(ROOT (FRAG (ADJP (JJ Scientific) (NP (CD one))) (. ?)))
38003,"(64,)",No ?,"[No/DT, ?/.]",(ROOT (FRAG (NP (DT No)) (. ?)))
38003,"(65,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
38003,"(66,)",You could do with one .,"[You/PRP, could/MD, do/VB, with/IN, one/CD, ./.]",(ROOT (S (NP (PRP You)) (VP (MD could) (VP (VB do) (PP (IN with) (NP (CD one))))) (. .)))
38003,"(67,)",Alright ?,"[Alright/NNP, ?/.]",(ROOT (FRAG (NP (NNP Alright)) (. ?)))
38003,"(68,)",It 's one of those things that you could do with really .,"[It/PRP, 's/VBZ, one/CD, of/IN, those/DT, things/NNS, that/IN, you/PRP, could/MD, do/VB, with/IN, really/RB, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (NP (CD one)) (PP (IN of) (NP (DT those) (NNS things)))) (SBAR (IN that) (S (NP (PRP you)) (VP (MD could) (VP (VB do) (PP (IN with) (ADVP (RB really)))))))) (. .)))
38003,"(69, 70)",If you 've got a birthday or something coming up and if somebody wants to know what to buy you  that 's what you want !,"[If/IN, you/PRP, 've/VBP, got/VBD, a/DT, birthday/NN, or/CC, something/NN, coming/VBG, up/RB, and/CC, if/IN, somebody/NN, wants/VBZ, to/TO, know/VB, what/WP, to/TO, buy/VB, you/PRP, that/DT, 's/VBZ, what/WP, you/PRP, want/VBP, !/.]",(ROOT (S (SBAR (IN If) (S (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (NP (DT a) (NN birthday) (CC or) (NN something)) (SBAR (SBAR (S (VP (VBG coming) (ADVP (RB up))))) (CC and) (SBAR (IN if) (S (NP (NN somebody)) (VP (VBZ wants) (S (VP (TO to) (VP (VB know) (SBAR (WHNP (WP what)) (S (VP (TO to) (VP (VB buy) (NP (PRP you))))))))))))))))) (NP (DT that)) (VP (VBZ 's) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP want))))) (. !)))
38003,"(71,)",You want one of these scientific ones .,"[You/PRP, want/VBP, one/CD, of/IN, these/DT, scientific/JJ, ones/NNS, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP want) (NP (NP (CD one)) (PP (IN of) (NP (DT these) (JJ scientific) (NNS ones))))) (. .)))
38003,"(72,)","So , you want a hundred and forty percent of seven point five .","[So/RB, ,/,, you/PRP, want/VBP, a/DT, hundred/CD, and/CC, forty/CD, percent/NN, of/IN, seven/CD, point/NN, five/CD, ./.]","(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP you)) (VP (VBP want) (NP (NP (DT a) (CD hundred)) (CC and) (NP (NP (NP (CD forty) (NN percent)) (PP (IN of) (NP (CD seven) (NN point)))) (NP (CD five))))) (. .)))"
38003,"(73,)",,[],X
38003,"(74,)",Let 's have a look .,"[Let/VB, 's/PRP, have/VB, a/DT, look/NN, ./.]",(ROOT (S (VP (VB Let) (S (NP (PRP 's)) (VP (VB have) (NP (DT a) (NN look))))) (. .)))
38003,"(75,)",What is it ?,"[What/WP, is/VBZ, it/PRP, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (PRP it))) (. ?)))
38003,"(76, 77, 78, 79)","A hundred and forty percent , so it 's one  point four  times  seven point five .","[A/DT, hundred/CD, and/CC, forty/CD, percent/NN, ,/,, so/IN, it/PRP, 's/VBZ, one/CD, point/NN, four/CD, times/NNS, seven/CD, point/NN, five/CD, ./.]","(ROOT (S (NP (NP (DT A) (CD hundred)) (CC and) (NP (CD forty) (NN percent))) (, ,) (ADVP (IN so)) (NP (PRP it)) (VP (VBZ 's) (ADVP (ADVP (NP (CD one) (NN point)) (NP (NP (CD four) (NNS times)) (NP (CD seven) (NN point)))) (NP (CD five)))) (. .)))"
38003,"(80,)",Try it .,"[Try/VB, it/PRP, ./.]",(ROOT (S (VP (VB Try) (NP (PRP it))) (. .)))
38003,"(81,)",Use that one .,"[Use/VB, that/IN, one/CD, ./.]",(ROOT (S (VP (VB Use) (ADVP (IN that) (NP (CD one)))) (. .)))
38003,"(82,)",Yes you use your finger   .,"[Yes/UH, you/PRP, use/VBP, your/PRP$, finger/NN, ./.]",(ROOT (S (S (INTJ (UH Yes)) (NP (PRP you)) (VP (VBP use) (NP (PRP$ your) (NN finger)))) (. .)))
38003,"(83, 84)",One  point four times,"[One/CD, point/NN, four/CD, times/NNS]",(ROOT (NP (NP (CD One)) (NP (NP (NN point)) (NP (CD four) (NNS times)))))
38003,"(85,)",Oh it 's   .,"[Oh/UH, it/PRP, 's/VBZ, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP it)) (VP (VBZ 's))) (. .)))
38003,"(86,)","Ten point five , that 's right .","[Ten/CD, point/NN, five/CD, ,/,, that/DT, 's/VBZ, right/NN, ./.]","(ROOT (S (NP (NP (CD Ten) (NN point)) (NP (CD five))) (, ,) (NP (DT that)) (VP (VBZ 's) (NP (NN right))) (. .)))"
38003,"(87,)",Okay .,"[Okay/UH, ./.]",(ROOT (INTJ (UH Okay) (. .)))
38003,"(88,)",Ten point five killogrammes .,"[Ten/CD, point/NN, five/CD, killogrammes/NNS, ./.]",(ROOT (NP (NP (CD Ten) (NN point)) (NP (CD five) (NNS killogrammes)) (. .)))
38003,"(89,)",Right !,"[Right/RB, !/.]",(ROOT (ADVP (RB Right) (. !)))
38003,"(90, 91)","Put it on the , on the er  on that desk which probably will be better .","[Put/VB, it/PRP, on/IN, the/DT, ,/,, on/IN, the/DT, er/NN, on/IN, that/DT, desk/NN, which/WDT, probably/RB, will/MD, be/VB, better/RBR, ./.]","(ROOT (S (VP (VB Put) (NP (PRP it)) (ADVP (IN on) (DT the)) (, ,) (PP (IN on) (NP (NP (DT the) (NN er)) (PP (IN on) (NP (NP (DT that) (NN desk)) (SBAR (WHNP (WDT which)) (S (ADVP (RB probably)) (VP (MD will) (VP (VB be) (ADJP (RBR better))))))))))) (. .)))"
38003,"(92, 93)","So , alright calculate  a hundred and thirty percent of sixty seven pounds .","[So/RB, ,/,, alright/JJ, calculate/VBP, a/DT, hundred/CD, and/CC, thirty/CD, percent/NN, of/IN, sixty/CD, seven/CD, pounds/NNS, ./.]","(ROOT (S (ADVP (RB So)) (, ,) (NP (JJ alright)) (VP (VBP calculate) (NP (NP (DT a) (CD hundred)) (CC and) (NP (NP (CD thirty) (NN percent)) (PP (IN of) (NP (CD sixty) (CD seven) (NNS pounds)))))) (. .)))"
38003,"(94,)","That 's right ,a-  , what is that ?","[That/DT, 's/VBZ, right/JJ, ,a-/NN, ,/,, what/WP, is/VBZ, that/IN, ?/.]","(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NP (JJ right) (NN ,a-)) (, ,) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (ADJP (IN that))))))) (. ?)))"
38003,"(95,)",Eighty seven point nine .,"[Eighty/CD, seven/CD, point/NN, nine/CD, ./.]",(ROOT (NP (NP (CD Eighty) (CD seven)) (NP (NN point) (CD nine)) (. .)))
38003,"(96, 97)","Yeah , so it 's eighty seven pounds  ten isn 't it ?","[Yeah/UH, ,/,, so/IN, it/PRP, 's/VBZ, eighty/CD, seven/CD, pounds/NNS, ten/CD, isn/NN, 't/PRP, it/PRP, ?/.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (ADVP (IN so)) (NP (PRP it)) (VP (VBZ 's) (NP (NP (CD eighty) (CD seven) (NNS pounds)) (NP (NP (CD ten) (NN isn)) (NP (PRP 't)) (NP (PRP it))))) (. ?)))"
38003,"(98,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
38003,"(99, 100)","Right , B  a hundred and twenty percent off thirty two metres ?","[Right/NN, ,/,, B/NN, a/DT, hundred/CD, and/CC, twenty/CD, percent/NN, off/IN, thirty/CD, two/CD, metres/NNS, ?/.]","(ROOT (NP (NP (NN Right)) (, ,) (NP (NP (NP (NN B)) (NP (QP (DT a) (CD hundred)))) (CC and) (NP (NP (CD twenty) (NN percent)) (PP (IN off) (NP (CD thirty) (CD two) (NNS metres))))) (. ?)))"
38003,"(101,)",Oops !,"[Oops/UH, !/.]",(ROOT (INTJ (UH Oops) (. !)))
38003,"(102,)", No   .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
38003,"(103,)",Start again .,"[Start/VB, again/RB, ./.]",(ROOT (S (VP (VB Start) (ADVP (RB again))) (. .)))
