71101,"(22,)","oh I went last year , so it could be interesting , it 's quite an interesting centre","[oh/UH, I/PRP, went/VBD, last/JJ, year/NN, ,/,, so/IN, it/PRP, could/MD, be/VB, interesting/JJ, ,/,, it/PRP, 's/VBZ, quite/RB, an/DT, interesting/JJ, centre/NN]","(ROOT (NP (S (S (INTJ (UH oh)) (NP (PRP I)) (VP (VBD went) (NP (JJ last) (NN year)))) (, ,) (IN so) (S (S (NP (PRP it)) (VP (MD could) (VP (VB be) (ADJP (JJ interesting))))) (, ,) (NP (PRP it)) (VP (VBZ 's) (NP (RB quite) (DT an) (JJ interesting) (NN centre)))))))"
71101,"(23,)", yeah ,[yeah/UH],(ROOT (INTJ (UH yeah)))
71101,"(24,)",so private,"[so/RB, private/JJ]",(ROOT (ADJP (RB so) (JJ private)))
71101,"(25,)",mm,[mm/NN],(ROOT (NP (NN mm)))
71101,"(26,)",Hope it hasn 't gone bust ,"[Hope/VB, it/PRP, hasn/VB, 't/PRP, gone/VBN, bust/NN]",(ROOT (S (VP (VB Hope) (S (NP (PRP it)) (VP (VB hasn) (S (NP (PRP 't)) (VP (VBN gone) (NP (NN bust)))))))))
71101,"(27,)",oh,[oh/UH],(ROOT (INTJ (UH oh)))
71101,"(28,)","cos I haven 't got , got to contact him tomorrow , cos I couldn 't find his telephone number","[cos/NNP, I/NNP, haven/NNP, 't/PRP, got/VBD, ,/,, got/VBD, to/TO, contact/VB, him/PRP, tomorrow/NN, ,/,, cos/NN, I/PRP, couldn/VBP, 't/PRP, find/VB, his/PRP$, telephone/NN, number/NN]","(ROOT (S (NP (NP (NNP cos) (NNP I) (NNP haven)) (SBAR (S (NP (PRP 't)) (VP (VBD got))))) (, ,) (VP (VBD got) (S (VP (TO to) (VP (VB contact) (NP (PRP him)) (NP (NN tomorrow)) (, ,) (NP (NP (NN cos)) (SBAR (S (NP (PRP I)) (VP (VBP couldn) (S (NP (PRP 't)) (VP (VB find) (NP (PRP$ his) (NN telephone) (NN number))))))))))))))"
71101,"(29,)",mm,[mm/NN],(ROOT (NP (NN mm)))
71101,"(30, 31)","er booked into , with Bob and er Steve  > at er Ullswater at two o 'clock  we 'll leave ","[er/NN, booked/VBD, into/IN, ,/,, with/IN, Bob/NNP, and/CC, er/NN, Steve/NNP, >/JJR, at/IN, er/NN, Ullswater/NN, at/IN, two/CD, o/NN, 'clock/NN, we/PRP, 'll/MD, leave/VB]","(ROOT (S (NP (NN er)) (VP (VBD booked) (PP (IN into)) (, ,) (PP (IN with) (NP (NP (NNP Bob)) (CC and) (NP (NP (NN er) (NNP Steve)) (ADJP (JJR >) (PP (IN at) (NP (NP (NN er) (NN Ullswater)) (PP (IN at) (NP (NP (CD two) (NN o) (NN 'clock)) (SBAR (S (NP (PRP we)) (VP (MD 'll) (VP (VB leave))))))))))))))))"
71101,"(32,)",yeah,[yeah/UH],(ROOT (INTJ (UH yeah)))
