15401,"(0,)",a hundred pound .,"[a/DT, hundred/CD, pound/NN, ./.]",(ROOT (NP (NP (DT a) (CD hundred)) (NP (NN pound)) (. .)))
15401,"(24, 25, 26)",but I mean  you don 't think erm  cos he said to me he said oh I suppose I 'd better buy you a Christmas present and I said yeah buy me something that I 'd use .,"[but/CC, I/PRP, mean/VBP, you/PRP, don/VB, 't/PRP, think/VB, erm/NNP, cos/NNP, he/PRP, said/VBD, to/TO, me/PRP, he/PRP, said/VBD, oh/UH, I/PRP, suppose/VBP, I/PRP, 'd/MD, better/RB, buy/VB, you/PRP, a/DT, Christmas/NNP, present/JJ, and/CC, I/PRP, said/VBD, yeah/UH, buy/VB, me/PRP, something/NN, that/IN, I/PRP, 'd/MD, use/VB, ./.]",(ROOT (S (CC but) (NP (PRP I)) (VP (VBP mean) (S (NP (PRP you)) (VP (VB don) (S (NP (PRP 't)) (VP (VB think) (NP (NP (NNP erm) (NNP cos)) (SBAR (S (NP (PRP he)) (VP (VBD said) (PP (TO to) (NP (PRP me))) (SBAR (S (NP (PRP he)) (VP (VBD said) (SBAR (S (S (INTJ (UH oh)) (NP (PRP I)) (VP (VBP suppose) (SBAR (S (NP (PRP I)) (VP (MD 'd) (ADVP (RB better)) (VP (VB buy) (S (NP (PRP you)) (NP (NP (DT a) (NNP Christmas)) (ADJP (JJ present)))))))))) (CC and) (S (NP (PRP I)) (VP (VBD said) (S (INTJ (UH yeah)) (VP (VB buy) (NP (PRP me)) (NP (NN something)))) (SBAR (IN that) (S (NP (PRP I)) (VP (MD 'd) (VP (VB use))))))))))))))))))))) (. .)))
15401,"(27,)","He said what I said well if you 're gonna me anything , buy me a tin of biscuits .","[He/PRP, said/VBD, what/WP, I/PRP, said/VBD, well/RB, if/IN, you/PRP, 're/VBP, gonna/VB, me/PRP, anything/NN, ,/,, buy/VB, me/PRP, a/DT, tin/NN, of/IN, biscuits/NNS, ./.]","(ROOT (S (NP (PRP He)) (VP (VBD said) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD said) (ADVP (RB well)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 're) (S (VP (VP (VB gonna) (S (NP (PRP me)) (ADJP (NN anything)))) (, ,) (VP (VB buy) (NP (PRP me))) (NP (DT a) (NN tin)) (PP (IN of) (NP (NNS biscuits)))))))))))) (. .)))"
15401,"(28,)",Mm quite .,"[Mm/NN, quite/RB, ./.]",(ROOT (FRAG (NP (NN Mm) (RB quite)) (. .)))
15401,"(29, 30)",He said  tin of biscuits ?,"[He/PRP, said/VBD, tin/NN, of/IN, biscuits/NNS, ?/.]",(ROOT (S (NP (PRP He)) (VP (VBD said) (NP (NP (NN tin)) (PP (IN of) (NP (NNS biscuits))))) (. ?)))
15401,"(31,)",I said,"[I/PRP, said/VBD]",(ROOT (S (NP (PRP I)) (VP (VBD said))))
15401,"(32,)",I think that 's a most acceptable present .,"[I/PRP, think/VBP, that/DT, 's/VBZ, a/DT, most/JJS, acceptable/JJ, present/JJ, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBZ 's) (NP (NP (DT a) (JJS most)) (ADJP (JJ acceptable) (JJ present))))))) (. .)))
15401,"(33,)",It really is .,"[It/PRP, really/RB, is/VBZ, ./.]",(ROOT (S (NP (PRP It)) (ADVP (RB really)) (VP (VBZ is)) (. .)))
15401,"(34, 35)",Because  you know it 's stupid things like that,"[Because/IN, you/PRP, know/VBP, it/PRP, 's/VBZ, stupid/JJ, things/NNS, like/IN, that/DT]",(ROOT (SBAR (IN Because) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (JJ stupid) (NNS things)) (PP (IN like) (NP (DT that)))))))))))
15401,"(36,)",I know that Bob and Glynis will be delighted to have some because he 's been out of work .,"[I/PRP, know/VBP, that/IN, Bob/NNP, and/CC, Glynis/NNP, will/MD, be/VB, delighted/JJ, to/TO, have/VB, some/DT, because/IN, he/PRP, 's/VBZ, been/VBN, out/IN, of/IN, work/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (NNP Bob) (CC and) (NNP Glynis)) (VP (MD will) (VP (VB be) (ADJP (JJ delighted) (S (VP (TO to) (VP (VB have) (NP (DT some)) (SBAR (IN because) (S (NP (PRP he)) (VP (VBZ 's) (VP (VBN been) (ADJP (IN out) (PP (IN of) (NP (NN work))))))))))))))))) (. .)))
15401,"(37, 38)","Alright , he invested the money that he received as a  gratuity from British Telecom when he was made redundant .","[Alright/NNP, ,/,, he/PRP, invested/VBD, the/DT, money/NN, that/IN, he/PRP, received/VBD, as/IN, a/DT, gratuity/NN, from/IN, British/NNP, Telecom/NNP, when/WRB, he/PRP, was/VBD, made/VBN, redundant/JJ, ./.]","(ROOT (S (NP (NNP Alright)) (, ,) (NP (PRP he)) (VP (VBD invested) (NP (DT the) (NN money)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD received) (PP (IN as) (NP (NP (DT a) (NN gratuity)) (PP (IN from) (NP (NNP British) (NNP Telecom))))) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD was) (VP (VBN made) (S (ADJP (JJ redundant))))))))))) (. .)))"
