18905,"(24,)","Will it fit and how tall is it , and how wide is it ?","[Will/MD, it/PRP, fit/VB, and/CC, how/WRB, tall/JJ, is/VBZ, it/PRP, ,/,, and/CC, how/WRB, wide/JJ, is/VBZ, it/PRP, ?/.]","(ROOT (SQ (MD Will) (NP (PRP it)) (VP (VB fit) (ADVP (CC and)) (SBAR (SBAR (WHADJP (WRB how) (JJ tall)) (S (VP (VBZ is) (NP (PRP it))))) (, ,) (CC and) (SBAR (WHADJP (WRB how) (JJ wide)) (S (VP (VBZ is) (NP (PRP it))))))) (. ?)))"
18905,"(25, 26, 27)","Will we be able to get in before the day  to check up on what colour we want things and yo-  , that sort of thing , you know you just  you know ?","[Will/MD, we/PRP, be/VB, able/JJ, to/TO, get/VB, in/IN, before/IN, the/DT, day/NN, to/TO, check/VB, up/RP, on/IN, what/WDT, colour/NN, we/PRP, want/VBP, things/NNS, and/CC, yo-/NN, ,/,, that/WDT, sort/NN, of/IN, thing/NN, ,/,, you/PRP, know/VBP, you/PRP, just/RB, you/PRP, know/VB, ?/.]","(ROOT (SQ (MD Will) (NP (PRP we)) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (SBAR (IN in) (S (SBAR (IN before) (S (NP (DT the) (NN day)) (VP (TO to) (VP (VB check) (PRT (RP up)) (SBAR (WHPP (IN on) (WHNP (WDT what) (NN colour))) (S (NP (PRP we)) (VP (VBP want) (NP (NNS things) (CC and) (NN yo-))))))))) (, ,) (SBAR (WHNP (WDT that)) (S (VP (NN sort) (PP (IN of) (NP (NN thing)))))) (, ,) (NP (PRP you)) (VP (VBP know) (NP (PRP you)) (ADVP (RB just)) (SBAR (S (NP (PRP you)) (VP (VB know)))))))))))) (. ?)))"
18905,"(28,)",Yeah I know .,"[Yeah/UH, I/PRP, know/VBP, ./.]",(ROOT (S (S (INTJ (UH Yeah)) (NP (PRP I)) (VP (VBP know))) (. .)))
18905,"(29, 30)",As you know  cos you have the same trouble .,"[As/IN, you/PRP, know/VBP, cos/NN, you/PRP, have/VBP, the/DT, same/JJ, trouble/NN, ./.]",(ROOT (S (SBAR (IN As) (S (NP (PRP you)) (VP (VBP know) (NP (NN cos))))) (NP (PRP you)) (VP (VBP have) (NP (DT the) (JJ same) (NN trouble))) (. .)))
18905,"(31, 32)", As if we were both tossing and turning and,"[As/IN, if/IN, we/PRP, were/VBD, both/DT, tossing/VBG, and/CC, turning/VBG, and/CC]",(ROOT (SBAR (IN As) (IN if) (S (NP (PRP we)) (VP (VBD were) (DT both) (VP (VBG tossing) (CC and) (VBG turning) (ADVP (CC and)))))))
18905,"(33, 34, 35)","Yeah  I know  I know , funny one yesterday , you know but not to worry .","[Yeah/UH, I/PRP, know/VBP, I/PRP, know/VB, ,/,, funny/JJ, one/CD, yesterday/NN, ,/,, you/PRP, know/VBP, but/CC, not/RB, to/TO, worry/VB, ./.]","(ROOT (S (S (INTJ (UH Yeah)) (NP (PRP I)) (VP (VBP know) (S (NP (PRP I)) (VP (VP (VB know)) (, ,) (NP (ADJP (JJ funny) (NP (CD one))) (NN yesterday)))))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (CC but) (S (RB not) (VP (TO to) (VP (VB worry)))))) (. .)))"
18905,"(36,)",Bound to be like that .,"[Bound/VBN, to/TO, be/VB, like/IN, that/DT, ./.]",(ROOT (S (VP (VBN Bound) (S (VP (TO to) (VP (VB be) (PP (IN like) (NP (DT that))))))) (. .)))
18905,"(37,)",Not to worry .,"[Not/RB, to/TO, worry/VB, ./.]",(ROOT (FRAG (RB Not) (VP (TO to) (VP (VB worry))) (. .)))
18905,"(38,)","Bound to be like , you know , a little bit","[Bound/VBN, to/TO, be/VB, like/IN, ,/,, you/PRP, know/VBP, ,/,, a/DT, little/JJ, bit/NN]","(ROOT (VP (VBN Bound) (S (VP (TO to) (VP (VB be) (PP (IN like) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (QP (DT a) (JJ little) (NN bit)))))))))"
18905,"(39, 40, 41)",Brian knows  Brian knew everything more or less or  arranged quite a few things anyway,"[Brian/NNP, knows/VBZ, Brian/NNP, knew/VBD, everything/NN, more/RBR, or/CC, less/RBR, or/CC, arranged/VBN, quite/RB, a/DT, few/JJ, things/NNS, anyway/RB]",(ROOT (S (NP (NNP Brian)) (VP (VBZ knows) (SBAR (S (NP (NNP Brian)) (VP (VP (VBD knew) (NP (NN everything)) (ADVP (RBR more) (CC or) (RBR less))) (CC or) (VP (VBN arranged) (NP (RB quite) (DT a) (JJ few) (NNS things)) (ADVP (RB anyway)))))))))
