46415,"(0,)",Hello Sam,"[Hello/UH, Sam/NNP]",(ROOT (INTJ (UH Hello) (NNP Sam)))
46415,"(66,)",and then he 's coming back to this mass of work,"[and/CC, then/RB, he/PRP, 's/VBZ, coming/VBG, back/RB, to/TO, this/DT, mass/NN, of/IN, work/NN]",(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG coming) (ADVP (RB back)) (PP (TO to) (NP (NP (DT this) (NN mass)) (PP (IN of) (NP (NN work))))))))))))
46415,"(67,)",He has to get it done,"[He/PRP, has/VBZ, to/TO, get/VB, it/PRP, done/VBN]",(ROOT (S (NP (PRP He)) (VP (VBZ has) (S (VP (TO to) (VP (VB get) (S (NP (PRP it)) (VP (VBN done)))))))))
46415,"(68,)","and er , and , and , he feels look , well I 'm caring with it now but some time","[and/CC, er/NN, ,/,, and/CC, ,/,, and/CC, ,/,, he/PRP, feels/VBZ, look/NN, ,/,, well/RB, I/PRP, 'm/VBP, caring/VBG, with/IN, it/PRP, now/RB, but/CC, some/DT, time/NN]","(ROOT (S (CC and) (NP (NN er)) (, ,) (ADVP (CC and)) (, ,) (ADVP (CC and)) (, ,) (NP (PRP he)) (VP (VBZ feels) (NP (NP (NN look)) (, ,) (ADVP (RB well)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG caring) (PP (IN with) (NP (PRP it))) (ADVP (RB now)) (FRAG (CC but) (NP (DT some) (NN time)))))))))))"
46415,"(69,)",Mm,[Mm/NN],(ROOT (NP (NN Mm)))
46415,"(70,)","four eyes , as he calls it , is gonna get","[four/CD, eyes/NNS, ,/,, as/IN, he/PRP, calls/VBZ, it/PRP, ,/,, is/VBZ, gonna/NNP, get/VB]","(ROOT (S (NP (NP (CD four) (NNS eyes)) (, ,) (SBAR (IN as) (S (NP (PRP he)) (VP (VBZ calls) (NP (PRP it))))) (, ,)) (VP (VBZ is) (S (NP (NNP gonna)) (VP (VB get))))))"
46415,"(71,)","Uptight about it , yeah","[Uptight/JJ, about/IN, it/PRP, ,/,, yeah/UH]","(ROOT (FRAG (SBAR (WHNP (NP (JJ Uptight)) (PRN (PP (IN about) (NP (PRP it))) (, ,))) (FRAG (INTJ (UH yeah))))))"
46415,"(72,)","No , no , he , he 'll , well , no Alec is going to get uptight about it","[No/DT, ,/,, no/DT, ,/,, he/PRP, ,/,, he/PRP, 'll/MD, ,/,, well/RB, ,/,, no/DT, Alec/NNP, is/VBZ, going/VBG, to/TO, get/VB, uptight/JJ, about/IN, it/PRP]","(ROOT (S (NP (DT No)) (, ,) (SBAR (WHNP (WHNP (DT no)) (, ,) (NP (PRP he)) (, ,)) (S (NP (PRP he)) (VP (MD 'll)))) (, ,) (ADVP (RB well)) (, ,) (NP (DT no) (NNP Alec)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB get) (ADJP (JJ uptight)) (PP (IN about) (NP (PRP it))))))))))"
46415,"(73,)","Yes , yeah","[Yes/UH, ,/,, yeah/UH]","(ROOT (INTJ (UH Yes) (, ,) (UH yeah)))"
46415,"(74,)",and the last person I want to see leaving is Alec,"[and/CC, the/DT, last/JJ, person/NN, I/PRP, want/VBP, to/TO, see/VB, leaving/VBG, is/VBZ, Alec/NNP]",(ROOT (FRAG (CC and) (NP (NP (DT the) (JJ last) (NN person)) (SBAR (S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB see) (S (VP (VBG leaving) (SBAR (S (VP (VBZ is) (NP (NNP Alec))))))))))))))))
46415,"(75,)",Would be Alec absolutely,"[Would/MD, be/VB, Alec/NNP, absolutely/RB]",(ROOT (SINV (VP (MD Would) (VP (VB be))) (NP (NP (NNP Alec)) (ADVP (RB absolutely)))))
46415,"(76,)",cos I  ,"[cos/NNP, I/NNP]",(ROOT (NP (NNP cos) (NNP I)))
46415,"(77,)","I think what he needs to do er is to say right , well there 's a problem here , go to Netherlands Alec , they need help here to get things set up","[I/PRP, think/VBP, what/WP, he/PRP, needs/VBZ, to/TO, do/VB, er/NN, is/VBZ, to/TO, say/VB, right/NN, ,/,, well/RB, there/EX, 's/VBZ, a/DT, problem/NN, here/RB, ,/,, go/VB, to/TO, Netherlands/NNP, Alec/NNP, ,/,, they/PRP, need/VBP, help/NN, here/RB, to/TO, get/VB, things/NNS, set/VBN, up/RP]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBZ needs) (S (VP (TO to) (VP (VB do) (S (S (NP (NN er)) (VP (VBZ is) (S (VP (TO to) (VP (VB say) (NP (NN right))))))) (, ,) (ADVP (RB well)) (S (NP (EX there)) (VP (VBZ 's) (NP (DT a) (NN problem)) (ADVP (RB here)))) (, ,) (S (S (VP (VB go) (PP (TO to) (NP (NNP Netherlands) (NNP Alec))))) (, ,) (NP (PRP they)) (VP (VBP need) (NP (NN help)) (S (ADVP (RB here)) (VP (TO to) (VP (VB get) (NP (NP (NNS things)) (VP (VBN set) (PRT (RP up)))))))))))))))))))"
46415,"(78,)",That 's right,"[That/DT, 's/VBZ, right/NN]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right)))))
46415,"(79,)",because I 'm ab- I 'm absolutely convinced having seen the package,"[because/IN, I/PRP, 'm/VBP, ab-/JJ, I/PRP, 'm/VBP, absolutely/RB, convinced/JJ, having/VBG, seen/VBN, the/DT, package/NN]",(ROOT (SBAR (IN because) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ ab-) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB absolutely) (JJ convinced) (S (VP (VBG having) (VP (VBN seen) (NP (DT the) (NN package))))))))))))))
46415,"(80,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(81,)","erm Sam , it does produce er you know tremendous information","[erm/NN, Sam/NNP, ,/,, it/PRP, does/VBZ, produce/VB, er/NN, you/PRP, know/VBP, tremendous/JJ, information/NN]","(ROOT (NP (S (NP (NN erm) (NNP Sam)) (, ,) (NP (PRP it)) (VP (VBZ does) (VP (VB produce) (NP (NP (NN er)) (SBAR (S (NP (PRP you)) (VP (VBP know) (NP (JJ tremendous) (NN information)))))))))))"
46415,"(82,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(83,)",and it 's easily updated because er from what I 've seen now you can actually key in sort of the acreage and then update the crop inspecting reports,"[and/CC, it/PRP, 's/VBZ, easily/RB, updated/VBN, because/IN, er/NN, from/IN, what/WP, I/PRP, 've/VBP, seen/VBN, now/RB, you/PRP, can/MD, actually/RB, key/VB, in/IN, sort/NN, of/IN, the/DT, acreage/NN, and/CC, then/RB, update/VBP, the/DT, crop/NN, inspecting/VBG, reports/NNS]",(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VP (VBZ 's) (ADVP (RB easily)) (VP (VBN updated) (PP (IN because) (NP (NN er))) (PP (IN from) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN seen) (ADVP (RB now)) (SBAR (S (NP (PRP you)) (VP (MD can) (ADVP (RB actually)) (VP (VB key) (PP (IN in) (NP (NP (NN sort)) (PP (IN of) (NP (DT the) (NN acreage)))))))))))))))) (CC and) (VP (ADVP (RB then)) (VBP update) (NP (NP (DT the) (NN crop)) (VP (VBG inspecting) (NP (NNS reports)))))))))
46415,"(84,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(85,)",and each time you go out and look at the crop update,"[and/CC, each/DT, time/NN, you/PRP, go/VBP, out/RB, and/CC, look/VB, at/IN, the/DT, crop/NN, update/VBP]",(ROOT (FRAG (CC and) (NP (DT each) (NN time) (SBAR (S (NP (PRP you)) (VP (VP (VBP go) (ADVP (RB out))) (CC and) (VP (VB look) (PP (IN at) (NP (NP (DT the) (NN crop)) (SBAR (S (VP (VBP update)))))))))))))
46415,"(86,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(87,)","that very , very easily","[that/DT, very/RB, ,/,, very/RB, easily/RB]","(ROOT (FRAG (NP (NP (DT that) (RB very)) (, ,) (ADJP (RB very) (RB easily)))))"
46415,"(88,)",Oh I see,"[Oh/UH, I/PRP, see/VBP]",(ROOT (SBAR (UH Oh) (S (NP (PRP I)) (VP (VBP see)))))
46415,"(89,)",and print out a variety of reports on that,"[and/CC, print/VB, out/RP, a/DT, variety/NN, of/IN, reports/NNS, on/IN, that/DT]",(ROOT (FRAG (CC and) (S (VP (VB print) (PRT (RP out)) (NP (NP (DT a) (NN variety)) (PP (IN of) (NP (NP (NNS reports)) (PP (IN on) (NP (DT that))))))))))
46415,"(90,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(91,)","and then erm it will as you go along , as the crops are actually growing in the fields , you can change the yield on it so as","[and/CC, then/RB, erm/VBP, it/PRP, will/MD, as/IN, you/PRP, go/VBP, along/RB, ,/,, as/IN, the/DT, crops/NNS, are/VBP, actually/RB, growing/VBG, in/IN, the/DT, fields/NNS, ,/,, you/PRP, can/MD, change/VB, the/DT, yield/NN, on/IN, it/PRP, so/RB, as/IN]","(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (VP (VBP erm) (SBAR (S (NP (PRP it)) (VP (MD will) (SBAR (IN as) (S (NP (PRP you)) (VP (VBP go) (S (ADVP (RB along)) (, ,) (SBAR (IN as) (S (NP (DT the) (NNS crops)) (VP (VBP are) (ADVP (RB actually)) (VP (VBG growing) (PP (IN in) (NP (DT the) (NNS fields))))))) (, ,) (NP (PRP you)) (VP (MD can) (VP (VB change) (NP (NP (DT the) (NN yield)) (PP (IN on) (NP (PRP it)))) (ADVP (RB so) (IN as)))))))))))))))))"
46415,"(92,)","Oh , aye","[Oh/UH, ,/,, aye/NNP]","(ROOT (FRAG (INTJ (UH Oh)) (, ,) (NP (NNP aye))))"
46415,"(93,)","as , as it gets near to the harvest you can come to","[as/RB, ,/,, as/IN, it/PRP, gets/VBZ, near/IN, to/TO, the/DT, harvest/NN, you/PRP, can/MD, come/VB, to/TO]","(ROOT (SBAR (RB as) (S (, ,) (PP (IN as) (S (NP (PRP it)) (VP (VBZ gets) (PP (IN near) (PP (TO to) (NP (DT the) (NN harvest))))))) (NP (PRP you)) (VP (MD can) (VP (VB come) (PP (TO to)))))))"
46415,"(94,)","Yeah , yeah","[Yeah/UH, ,/,, yeah/UH]","(ROOT (INTJ (UH Yeah) (, ,) (UH yeah)))"
46415,"(95,)",quite a close estimate of what the,"[quite/RB, a/DT, close/JJ, estimate/NN, of/IN, what/WP, the/DT]",(ROOT (FRAG (NP (RB quite) (DT a) (JJ close) (NN estimate)) (PP (IN of) (WHNP (WP what) (NP (DT the))))))
46415,"(96,)","Estimate , yes , yes","[Estimate/NN, ,/,, yes/UH, ,/,, yes/UH]","(ROOT (FRAG (SBAR (WHNP (NP (NN Estimate)) (PRN (, ,) (INTJ (UH yes)) (, ,))) (FRAG (INTJ (UH yes))))))"
46415,"(97,)",the harvest is gonna be,"[the/DT, harvest/NN, is/VBZ, gonna/NN, be/VB]",(ROOT (S (NP (DT the) (NN harvest)) (VP (VBZ is) (S (NP (NN gonna)) (VP (VB be))))))
46415,"(98,)","Oh that 's excellent because er I said , he said oh I don 't want to be lugged with a big computer sort of thing and so on , so I said well you might , you might be able to get","[Oh/UH, that/DT, 's/VBZ, excellent/JJ, because/IN, er/NN, I/NN, said/VBD, ,/,, he/PRP, said/VBD, oh/UH, I/PRP, don/VBP, 't/PRP, want/VB, to/TO, be/VB, lugged/VBN, with/IN, a/DT, big/JJ, computer/NN, sort/NN, of/IN, thing/NN, and/CC, so/RB, on/IN, ,/,, so/IN, I/PRP, said/VBD, well/RB, you/PRP, might/MD, ,/,, you/PRP, might/MD, be/VB, able/JJ, to/TO, get/VB]","(ROOT (S (S (INTJ (UH Oh)) (NP (DT that)) (VP (VBZ 's) (ADJP (JJ excellent)) (SBAR (IN because) (S (NP (NN er) (NN I)) (VP (VBD said)))))) (, ,) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (INTJ (UH oh)) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB want) (S (VP (TO to) (VP (VB be) (VP (VBN lugged) (PP (IN with) (NP (NP (DT a) (JJ big) (NN computer) (NN sort)) (PP (IN of) (NP (NN thing)))))))))))))))) (CC and) (S (ADVP (RB so) (IN on)) (PRN (, ,) (SBAR (IN so) (S (NP (PRP I)) (VP (VBD said) (ADVP (RB well)) (SBAR (S (NP (PRP you)) (VP (MD might))))))) (, ,)) (NP (PRP you)) (VP (MD might) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB get))))))))))"
46415,"(99,)",It 's,"[It/PRP, 's/VBZ]",(ROOT (S (NP (PRP It)) (VP (VBZ 's))))
46415,"(100,)",a little portable thing that can,"[a/DT, little/JJ, portable/JJ, thing/NN, that/WDT, can/MD]",(ROOT (FRAG (NP (NP (DT a) (JJ little) (JJ portable) (NN thing)) (SBAR (WHNP (WDT that)) (S (VP (MD can)))))))
46415,"(101,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(102,)","go out with you and you , you can push a button and it 'll come","[go/VB, out/RP, with/IN, you/PRP, and/CC, you/PRP, ,/,, you/PRP, can/MD, push/VB, a/DT, button/NN, and/CC, it/PRP, 'll/MD, come/VB]","(ROOT (S (VP (VB go) (PRT (RP out)) (SBAR (IN with) (S (S (NP (PRP you) (CC and) (PRP you)) (, ,) (NP (PRP you)) (VP (MD can) (VP (VB push) (NP (DT a) (NN button))))) (CC and) (S (NP (PRP it)) (VP (MD 'll) (VP (VB come)))))))))"
46415,"(103,)",,[],X
46415,"(104,)",up with a standard form,"[up/RB, with/IN, a/DT, standard/JJ, form/NN]",(ROOT (ADVP (RB up) (PP (IN with) (NP (DT a) (JJ standard) (NN form)))))
46415,"(105,)",That 's,"[That/DT, 's/VBZ]",(ROOT (S (NP (DT That)) (VP (VBZ 's))))
46415,"(106,)","and click on the informat- information that you 've got already on it and whenever you come back home , or not , into work , you plug it into the master and it it boots in","[and/CC, click/VB, on/IN, the/DT, informat-/JJ, information/NN, that/IN, you/PRP, 've/VBP, got/VBN, already/RB, on/IN, it/PRP, and/CC, whenever/WRB, you/PRP, come/VBP, back/RB, home/NN, ,/,, or/CC, not/RB, ,/,, into/IN, work/NN, ,/,, you/PRP, plug/VBP, it/PRP, into/IN, the/DT, master/NN, and/CC, it/PRP, it/PRP, boots/NNS, in/IN]","(ROOT (FRAG (CC and) (S (VP (VB click) (PP (IN on) (NP (DT the) (JJ informat-) (NN information))) (SBAR (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (ADVP (RB already)) (PP (IN on) (NP (PRP it))))))) (CC and) (SBAR (WHADVP (WRB whenever)) (S (NP (PRP you)) (VP (VBP come) (NP (RB back) (NX (NX (NN home)) (, ,) (CC or) (NX (ADJP (RB not) (SBAR (S (S (, ,) (PP (IN into) (NP (NN work))) (, ,) (NP (PRP you)) (VP (VBP plug) (NP (PRP it)) (PP (IN into) (NP (DT the) (NN master))))) (CC and) (S (NP (PRP it)) (NP (PRP it)))))) (NNS boots)))) (PP (IN in))))))))))"
46415,"(107,)","That , that is certainly , you know , it , that can be , and , and it 's something which we 'll probably look at a wee longer term","[That/DT, ,/,, that/DT, is/VBZ, certainly/RB, ,/,, you/PRP, know/VBP, ,/,, it/PRP, ,/,, that/WDT, can/MD, be/VB, ,/,, and/CC, ,/,, and/CC, it/PRP, 's/VBZ, something/NN, which/WDT, we/PRP, 'll/MD, probably/RB, look/VB, at/IN, a/DT, wee/NN, longer/JJR, term/NN]","(ROOT (S (S (NP (DT That)) (PRN (, ,) (S (NP (DT that)) (VP (VBZ is) (ADVP (RB certainly)))) (, ,)) (NP (PRP you)) (VP (VBP know) (, ,) (NP (PRP it)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB be))))))) (, ,) (CC and) (, ,) (CC and) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (NN something)) (SBAR (WHNP (WDT which)) (S (NP (PRP we)) (VP (MD 'll) (ADVP (RB probably)) (VP (VB look) (PP (IN at) (NP (NP (DT a) (NN wee)) (ADJP (JJR longer) (NN term)))))))))))))"
46415,"(108,)","Well what , what sort of made me say that was because er across the crevy well at least all these travel ones are","[Well/RB, what/WP, ,/,, what/WDT, sort/NN, of/IN, made/VBN, me/PRP, say/VBP, that/DT, was/VBD, because/IN, er/NN, across/IN, the/DT, crevy/NNP, well/RB, at/IN, least/JJS, all/PDT, these/DT, travel/NN, ones/NNS, are/VBP]","(ROOT (FRAG (ADVP (RB Well)) (NP (NP (WP what)) (, ,) (SBAR (WHNP (WDT what)) (S (ADVP (NN sort) (IN of)) (VP (VBN made) (S (NP (PRP me)) (VP (VBP say) (SBAR (S (NP (DT that)) (VP (VBD was) (PP (IN because) (NP (NP (NN er)) (PP (IN across) (NP (DT the) (NNP crevy) (RB well))) (ADVP (IN at) (JJS least)) (NP (NP (PDT all) (DT these) (NN travel) (NNS ones)) (VP (VBP are))))))))))))))))"
46415,"(109,)",Yes all these little,"[Yes/UH, all/PDT, these/DT, little/JJ]",(ROOT (S (VP (UH Yes) (S (NP (PDT all) (DT these)) (ADJP (JJ little))))))
46415,"(110,)","little manual things , yeah","[little/JJ, manual/JJ, things/NNS, ,/,, yeah/UH]","(ROOT (FRAG (SBAR (WHNP (WHNP (JJ little)) (PRN (PP (JJ manual) (NP (NNS things))) (, ,))) (FRAG (INTJ (UH yeah))))))"
46415,"(111,)","hand held terminals , yeah and they go out","[hand/NN, held/VBD, terminals/NNS, ,/,, yeah/UH, and/CC, they/PRP, go/VBP, out/RP]","(ROOT (S (NP (NN hand)) (VP (VBD held) (NP (NP (NNS terminals)) (, ,) (VP (NP (UH yeah)) (SBAR (CC and) (S (NP (PRP they)) (VP (VBP go) (PRT (RP out))))))))))"
46415,"(112,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(113,)",and they can do all the measurements and the trial grounds and so on,"[and/CC, they/PRP, can/MD, do/VB, all/PDT, the/DT, measurements/NNS, and/CC, the/DT, trial/NN, grounds/NNS, and/CC, so/RB, on/IN]",(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (MD can) (VP (VB do) (NP (NP (PDT all) (DT the) (NNS measurements)) (CC and) (NP (DT the) (NN trial) (NNS grounds))) (ADVP (CC and) (RB so) (IN on)))))))
46415,"(114,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(115,)",and then come back in,"[and/CC, then/RB, come/VB, back/RB, in/IN]",(ROOT (FRAG (CC and) (ADVP (RB then) (S (VP (VB come) (ADVP (RB back)) (PP (IN in)))))))
46415,"(116,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(117,)",and push it into the big,"[and/CC, push/VB, it/PRP, into/IN, the/DT, big/JJ]",(ROOT (FRAG (CC and) (S (VP (VB push) (NP (PRP it)) (PP (IN into) (NP (DT the) (JJ big)))))))
46415,"(118,)",and download it into the system,"[and/CC, download/VB, it/PRP, into/IN, the/DT, system/NN]",(ROOT (FRAG (CC and) (S (VP (VB download) (NP (PRP it)) (PP (IN into) (NP (DT the) (NN system)))))))
46415,"(119,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(120,)","Yes that , that 's certainly something which I know computer applications","[Yes/UH, that/IN, ,/,, that/DT, 's/VBZ, certainly/RB, something/NN, which/WDT, I/PRP, know/VBP, computer/NN, applications/NNS]","(ROOT (S (PP (NP (UH Yes)) (IN that)) (, ,) (NP (DT that)) (VP (VBZ 's) (ADVP (RB certainly)) (NP (NP (NN something)) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP know) (NP (NN computer) (NNS applications)))))))))"
46415,"(121,)",Well,[Well/RB],(ROOT (INTJ (RB Well)))
46415,"(122,)",are now currently looking at,"[are/VBP, now/RB, currently/RB, looking/VBG, at/IN]",(ROOT (SINV (VBP are) (NP (NP (RB now)) (ADVP (RB currently))) (VP (VBG looking) (PP (IN at)))))
46415,"(123,)",must do,"[must/MD, do/VB]",(ROOT (FRAG (VP (MD must) (VP (VB do)))))
46415,"(124,)","erm , but the one other area which I 'm sure Alec would find useful for as well , this new thing , er it 's trying to find as many benefits for them","[erm/NN, ,/,, but/CC, the/DT, one/CD, other/JJ, area/NN, which/WDT, I/PRP, 'm/VBP, sure/JJ, Alec/NNP, would/MD, find/VB, useful/JJ, for/IN, as/RB, well/RB, ,/,, this/DT, new/JJ, thing/NN, ,/,, er/NN, it/PRP, 's/VBZ, trying/VBG, to/TO, find/VB, as/RB, many/JJ, benefits/NNS, for/IN, them/PRP]","(ROOT (NP (NP (NN erm)) (, ,) (PP (CC but) (NP (NP (DT the) (CD one) (JJ other) (NN area)) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (S (NP (NNP Alec)) (VP (MD would) (VP (VB find) (NP (ADJP (JJ useful) (PP (IN for) (NP (NP (RB as) (RB well)) (, ,) (NP (DT this) (JJ new) (NN thing)) (, ,)))) (NN er)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG trying) (S (VP (TO to) (VP (VB find) (NP (NP (QP (RB as) (JJ many)) (NNS benefits)) (PP (IN for) (NP (PRP them)))))))))))))))))))))))"
46415,"(125,)",Yes that 's right,"[Yes/UH, that/DT, 's/VBZ, right/NN]",(ROOT (SINV (FRAG (INTJ (UH Yes))) (VP (ADVP (DT that)) (VP (VBZ 's))) (NP (NN right))))
46415,"(126,)","as possible to make it easier for them to set it up , is that we 're hoping to develop within the next er few months in fact , a certification form","[as/IN, possible/JJ, to/TO, make/VB, it/PRP, easier/JJR, for/IN, them/PRP, to/TO, set/VB, it/PRP, up/RP, ,/,, is/VBZ, that/IN, we/PRP, 're/VBP, hoping/VBG, to/TO, develop/VB, within/IN, the/DT, next/JJ, er/NN, few/JJ, months/NNS, in/IN, fact/NN, ,/,, a/DT, certification/NN, form/NN]","(ROOT (SBAR (IN as) (S (S (ADJP (JJ possible) (S (VP (TO to) (VP (VB make) (S (NP (PRP it)) (ADJP (JJR easier)) (SBAR (IN for) (S (NP (PRP them)) (VP (TO to) (VP (VB set) (NP (PRP it)) (PRT (RP up)))))))))))) (, ,) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG hoping) (S (VP (TO to) (VP (VB develop) (PP (IN within) (NP (DT the) (JJ next) (NN er))) (NP (NP (JJ few) (NNS months)) (PP (IN in) (NP (NP (NN fact)) (, ,) (NP (DT a) (NN certification) (NN form))))))))))))))))"
46415,"(127,)",Oh,[Oh/UH],(ROOT (INTJ (UH Oh)))
46415,"(128,)",system,[system/NN],(ROOT (NP (NN system)))
46415,"(129,)",yes,[yes/UH],(ROOT (INTJ (UH yes)))
46415,"(130,)","so in fact what will happen is , they will have all the details about the fields and so on","[so/RB, in/IN, fact/NN, what/WP, will/MD, happen/VB, is/VBZ, ,/,, they/PRP, will/MD, have/VB, all/PDT, the/DT, details/NNS, about/IN, the/DT, fields/NNS, and/CC, so/RB, on/IN]","(ROOT (S (SBAR (RB so) (IN in) (S (NP (NP (NN fact)) (SBAR (WHNP (WP what)) (S (VP (MD will) (VP (VB happen)))))) (VP (VBZ is)))) (, ,) (NP (PRP they)) (VP (MD will) (VP (VB have) (NP (NP (PDT all) (DT the) (NNS details)) (PP (IN about) (NP (DT the) (NNS fields)))) (ADVP (CC and) (RB so) (IN on))))))"
46415,"(131,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
46415,"(132,)",and then they will be able to generate all the certification forms for the Ministry,"[and/CC, then/RB, they/PRP, will/MD, be/VB, able/JJ, to/TO, generate/VB, all/PDT, the/DT, certification/NN, forms/NNS, for/IN, the/DT, Ministry/NNP]",(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP they)) (VP (MD will) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB generate) (NP (NP (PDT all) (DT the) (NN certification) (NNS forms)) (PP (IN for) (NP (DT the) (NNP Ministry)))))))))))))))
46415,"(133,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(134,)","so Alice , er what do you call , Alec at the present","[so/RB, Alice/NNP, ,/,, er/NN, what/WP, do/VBP, you/PRP, call/VB, ,/,, Alec/NNP, at/IN, the/DT, present/JJ]","(ROOT (FRAG (ADVP (RB so)) (NP (NP (NNP Alice)) (, ,) (NP (NP (NP (NN er)) (SBAR (WHNP (WP what)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB call))))))) (, ,) (NP (NP (NNP Alec)) (PP (IN at) (NP (DT the) (JJ present))))))))"
46415,"(135,)",I wonder does Alec,"[I/PRP, wonder/VBP, does/VBZ, Alec/NNP]",(ROOT (SINV (S (NP (PRP I)) (VP (VBP wonder))) (VP (VBZ does)) (NP (NNP Alec))))
46415,"(136,)","time , he does all that manually","[time/NN, ,/,, he/PRP, does/VBZ, all/DT, that/DT, manually/RB]","(ROOT (NP (S (NP (NN time)) (, ,) (NP (PRP he)) (VP (VBZ does) (NP (DT all)) (NP (NP (DT that)) (ADVP (RB manually)))))))"
46415,"(137,)",I wonder does Alec been told about this ?,"[I/PRP, wonder/VBP, does/VBZ, Alec/NNP, been/VBN, told/VBN, about/IN, this/DT, ?/.]",(ROOT (S (NP (PRP I)) (VP (VBP wonder) (SBAR (S (VP (VBZ does) (NP (NP (NNP Alec)) (VP (VBN been) (VP (VBN told) (PP (IN about) (NP (DT this)))))))))) (. ?)))
46415,"(138,)","I don 't think he may have been told about that , now he himself if he knew about that , that might be sufficient digging him over this hill","[I/PRP, don/VBP, 't/PRP, think/VB, he/PRP, may/MD, have/VB, been/VBN, told/VBN, about/IN, that/DT, ,/,, now/RB, he/PRP, himself/PRP, if/IN, he/PRP, knew/VBD, about/IN, that/DT, ,/,, that/WDT, might/MD, be/VB, sufficient/JJ, digging/NN, him/PRP, over/IN, this/DT, hill/NN]","(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (SBAR (S (NP (PRP he)) (VP (MD may) (VP (VB have) (VP (VBN been) (VP (VBN told) (PP (IN about) (NP (NP (DT that)) (, ,) (ADVP (RB now)) (NP (NP (PRP he)) (NP (PRP himself))))) (SBAR (IN if) (S (NP (PRP he)) (VP (VBD knew) (PP (IN about) (NP (NP (DT that)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (MD might) (VP (VB be) (NP (JJ sufficient) (NN digging)) (PP (NP (PRP him)) (IN over) (NP (DT this) (NN hill)))))))))))))))))))))))"
46415,"(139,)","That 's right , correct","[That/DT, 's/VBZ, right/JJ, ,/,, correct/JJ]","(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (ADJP (JJ right)) (, ,) (ADJP (JJ correct))))))"
46415,"(140,)","because at the other side of the hill he can see well , life 's gonna be a lot easier","[because/IN, at/IN, the/DT, other/JJ, side/NN, of/IN, the/DT, hill/NN, he/PRP, can/MD, see/VB, well/RB, ,/,, life/NN, 's/POS, gonna/NN, be/VB, a/DT, lot/NN, easier/JJR]","(ROOT (SBAR (IN because) (S (PP (IN at) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (DT the) (NN hill))))) (NP (PRP he)) (VP (MD can) (VP (VB see) (ADVP (RB well)) (, ,) (S (NP (NP (NN life) (POS 's)) (NN gonna) (S (VP (VB be) (ADJP (NP (DT a) (NN lot)) (JJR easier)))))))))))"
